direction,rule,win_rate,count,lift,baseline_wr,symbol,interval
LONG,atr > 0.00605 AND ret_2 ≤ -0.00186 AND ret_288 ≤ -0.02874 AND lr_dev_10 > -1.26739 AND lr_dev_10 ≤ -0.05749,100.0,113,1.23,81.5,ETHUSDT,5m
LONG,atr > 0.00605 AND ret_2 ≤ -0.00186 AND ret_288 > -0.02874 AND htf_1h_bb_pos_20 > -0.01707 AND ichi_tk ≤ 0.0047,100.0,44,1.23,81.5,ETHUSDT,5m
LONG,vs_sma24 ≤ -0.04798 AND vs_sma12 > -0.04667 AND htf_4h_adx > 0.3874 AND ret_3 > -0.01552,100.0,29,1.46,68.5,XRPUSDT,1h
LONG,vol_288 > 0.00202 AND lower_shadow ≤ 0.41801 AND hma_21_vs_c ≤ -0.0015 AND cmf_14 ≤ -0.19843 AND vs_s3 > -0.34739,100.0,114,1.16,86.5,XRPUSDT,5m
SHORT,vol_48 > 0.01701 AND vol_ratio_48 > 0.49581 AND vol_24 ≤ 0.02635 AND lower_shadow ≤ 0.42721,100.0,74,1.45,69.0,ETHUSDT,1h
LONG,atr7 ≤ 0.02397 AND hh > 0.5 AND rsi_21_slope ≤ 16.41552 AND kurt_24 > 1.22611,100.0,59,1.28,78.0,ETHUSDT,4h
SHORT,upper_shadow ≤ 0.23274 AND hl_vol > 0.0033 AND vol_24 > 0.00465 AND stoch_k_9 > 0.54627,100.0,107,1.35,74.3,XRPUSDT,5m
LONG,atr > 0.02262 AND ret_6 ≤ -0.02564 AND vol_24 ≤ 0.01571,100.0,43,1.53,65.5,ETHUSDT,1h
SHORT,vol_ratio_96 ≤ 0.9553 AND fractal_high > 0.5 AND vol_48 > 0.01217 AND hour_cos > 0.75 AND nasdaq_ret20d ≤ 0.0053,100.0,25,1.22,82.2,SOLUSDT,4h
LONG,atr > 0.02262 AND ret_6 ≤ -0.02564 AND vol_24 > 0.01571 AND ret_288 ≤ -0.35001,100.0,26,1.53,65.5,ETHUSDT,1h
SHORT,ha_body_ratio > 0.2771 AND ha_streak > 3.5,100.0,58,1.12,89.0,BNBUSDT,5m
SHORT,hour_cos > 0.0 AND atr28 > 0.02771 AND rvi ≤ 0.12676 AND rsi_6_slope > -22.33878,100.0,68,1.28,78.1,ETHUSDT,4h
SHORT,atr7 > 0.01788 AND vs_sma48 ≤ -0.04843 AND vs_s3 ≤ 1.70815 AND obv_slope2 ≤ 0.36376,100.0,86,1.33,75.0,BNBUSDT,4h
SHORT,htf_4h_vs_sma96 ≤ -0.08082 AND rsi_24_slope ≤ 7.81161 AND ret_3 > -0.0024,100.0,40,1.55,64.6,BTCUSDT,1h
LONG,atr > 0.02665 AND vol_288 > 0.00952 AND gold_vs_ma > -0.01096 AND ha_body_ratio ≤ 0.18644,99.2,123,1.34,74.0,BTCUSDT,4h
SHORT,vol_ratio_12 > 0.63766 AND vol_ratio_48 > 1.67297 AND lr_dev_20 ≤ 1.42239 AND ret_std_60 > 0.00975 AND skew_96 > -1.0655,98.9,93,1.34,74.0,BTCUSDT,4h
SHORT,vol_ratio_96 ≤ 0.9553 AND fractal_high > 0.5 AND vol_48 > 0.01217 AND hour_cos ≤ 0.75,98.8,161,1.2,82.2,SOLUSDT,4h
SHORT,vol_48 > 0.01095 AND htf_4h_rsi_14 ≤ 0.34293 AND htf_4h_atr > 0.05397,98.7,77,1.43,69.1,ADAUSDT,1h
LONG,vol_12 > 0.00253 AND hl_vol > 0.00795,98.6,69,1.19,82.5,BNBUSDT,5m
LONG,vol_12 > 0.00253 AND hl_vol ≤ 0.00795 AND vol_6 ≤ 0.00546 AND kurt_24 > 0.12204 AND vs_s2 ≤ 0.48489,98.6,69,1.19,82.5,BNBUSDT,5m
SHORT,vol_ratio_96 > 0.9553 AND dxy_ret1d > -0.00077 AND bb_width_14 > 0.12025 AND gold_vs_ma > -0.00838,98.4,373,1.2,82.2,SOLUSDT,4h
SHORT,upper_shadow > 0.23274 AND vol_96 > 0.00698 AND hma_9_vs_c > 0.00149,98.4,63,1.32,74.3,XRPUSDT,5m
SHORT,htf_4h_atr > 0.03371 AND hour_cos ≤ -0.78657 AND rsi_6_slope > 4.81589,98.1,54,1.51,64.8,BNBUSDT,1h
LONG,atr7 > 0.02182 AND vol_ratio_12 > 0.40166 AND force_idx > -0.22287 AND atr > 0.04689 AND lower_shadow ≤ 0.43837,98.1,157,1.17,84.2,SOLUSDT,4h
SHORT,ret_1 ≤ 0.01203 AND bb_width_48 > 0.21479 AND obv_slope ≤ 0.09815 AND hour_cos ≤ -0.37941,98.0,50,1.41,69.3,XRPUSDT,1h
SHORT,ret_1 > 0.00421 AND htf_4h_adx > 0.18565 AND vs_low_20 ≤ 0.01427 AND htf_4h_cmf_14 ≤ -0.02678 AND ret_accel_5 ≤ 0.01113,98.0,49,1.42,69.0,ADAUSDT,5m
LONG,atr ≤ 0.02665 AND vol_ratio_24 > 0.99918 AND ha_body_ratio > 0.13325 AND adx > 0.40907,97.9,97,1.32,74.0,BTCUSDT,4h
LONG,atr7 > 0.02397 AND session_europe > 0.5 AND body_ratio > 0.08206 AND vol_expand ≤ 0.5,97.8,185,1.25,78.0,ETHUSDT,4h
LONG,atr7 > 0.0192 AND atr7 ≤ 0.02813 AND hour_cos > 0.0 AND pos_in_range_100 ≤ 0.17564 AND pos_in_range_100 > 0.07345,97.7,44,1.27,76.9,XRPUSDT,4h
SHORT,ret_1 ≤ 0.00421 AND lr_slope_20 > 0.00344,97.7,44,1.42,69.0,ADAUSDT,5m
SHORT,atr ≤ 0.02002 AND aroon_14 > -0.67857 AND fractal_high > 0.5 AND stoch_k_9 > 0.71067 AND lower_shadow > 0.09587,97.7,86,1.24,78.9,XRPUSDT,4h
SHORT,ret_1 > 0.01203 AND htf_4h_cmf_14 ≤ 0.16413 AND vix_ret5d > -0.03544 AND htf_4h_ema50_vs_200 ≤ -0.12887,97.6,41,1.41,69.3,XRPUSDT,1h
LONG,atr ≤ 0.00605 AND lower_shadow ≤ 0.13479 AND ret_accel_5 > -0.00696,97.6,41,1.2,81.5,ETHUSDT,5m
LONG,vol_48 > 0.00778 AND ret_1 ≤ -0.01114 AND vs_sma12 ≤ -0.02224 AND stoch_d_24 > 0.07574 AND htf_4h_rsi_14 > 0.16507,97.5,79,1.44,67.7,BNBUSDT,1h
LONG,atr7 > 0.02397 AND session_europe ≤ 0.5 AND atr28 > 0.03214 AND vpt_vs_ma24 ≤ 0.14733 AND macd_12_26_hist ≤ 0.01046,97.5,162,1.25,78.0,ETHUSDT,4h
LONG,atr28 ≤ 0.01825 AND macd_12_26_sig > -0.00279 AND gold_ret20d ≤ 0.00941 AND adx ≤ 0.23228,97.2,36,1.21,80.0,ADAUSDT,4h
LONG,atr ≤ 0.02158 AND htf_4h_rsi_14 > 0.15781 AND vs_sma24 ≤ -0.04925 AND vs_sma24 > -0.05679,97.2,36,1.4,69.7,ADAUSDT,1h
LONG,atr7 ≤ 0.02182 AND vs_sma576 > -0.05787 AND vol_24 ≤ 0.01504 AND vol_ratio_12 > 0.68555 AND adx ≤ 0.38398,97.1,68,1.15,84.2,SOLUSDT,4h
SHORT,hour_cos ≤ 0.0 AND hl_vol > 0.00876 AND vol_6 > 0.01545 AND vol_ratio_96 > 0.76393,97.1,175,1.24,78.1,ETHUSDT,4h
LONG,atr > 0.02274 AND ret_3 ≤ -0.0258 AND body_ratio > 0.09581 AND vs_sma48 ≤ -0.1045,97.0,133,1.38,70.2,SOLUSDT,1h
SHORT,upper_shadow ≤ 0.35325 AND vs_low_55 > 0.01365 AND elder_bull_slope ≤ 0.0044 AND dxy ≤ 106.265,97.0,134,1.38,70.3,ETHUSDT,5m
LONG,atr7 > 0.0192 AND atr7 > 0.02813 AND lower_shadow > 0.5368 AND aroon_14 ≤ -0.39286,96.9,32,1.26,76.9,XRPUSDT,4h
SHORT,ret_1 > 0.00421 AND htf_4h_adx > 0.18565 AND vs_low_20 > 0.01427 AND fractal_high > 0.5 AND upper_shadow ≤ 0.20657,96.9,194,1.4,69.0,ADAUSDT,5m
LONG,atr7 ≤ 0.02397 AND hh ≤ 0.5 AND dxy_ret5d ≤ -0.00048 AND vol_24 ≤ 0.00897 AND roc_21 > -0.01309,96.9,64,1.24,78.0,ETHUSDT,4h
SHORT,upper_shadow ≤ 0.32765 AND vs_low_20 > 0.00428 AND atr ≤ 0.00392 AND htf_1h_bb_pos_20 ≤ -0.90247,96.9,32,1.4,69.3,SOLUSDT,5m
SHORT,vol_48 > 0.01095 AND htf_4h_rsi_14 ≤ 0.34293 AND htf_4h_atr ≤ 0.05397 AND stoch_d_14 > 0.30788,96.8,31,1.4,69.1,ADAUSDT,1h
SHORT,vol_48 ≤ 0.01701 AND stoch_d_14 ≤ 0.8824 AND htf_4h_adx > 0.29259 AND vol_ratio_12 > 1.78805 AND htf_4h_adx > 0.48891,96.7,30,1.4,69.0,ETHUSDT,1h
LONG,vs_sma24 ≤ -0.04798 AND vs_sma12 ≤ -0.04667,96.6,88,1.41,68.5,XRPUSDT,1h
LONG,htf_1h_atr > 0.03925 AND inside_bar ≤ 0.5 AND roc_21 ≤ -0.08053,96.6,89,1.35,71.3,SOLUSDT,5m
LONG,atr7 > 0.02182 AND vol_ratio_12 > 0.40166 AND force_idx ≤ -0.22287 AND ret_accel_12 ≤ 0.19152 AND vol_ratio_12 ≤ 2.11422,96.5,400,1.15,84.2,SOLUSDT,4h
SHORT,vol_ratio_12 > 0.63766 AND vol_ratio_48 > 1.67297 AND lr_dev_20 ≤ 1.42239 AND ret_std_60 ≤ 0.00975 AND fractal_high > 0.5,96.3,27,1.3,74.0,BTCUSDT,4h
