조합,지표수,발생횟수,승률,평균수익률,총수익률(누적)
가격_SMA50_위 + BB_하단터치(1.5σ) + STOCH21_과매도(20이하),3,23,0.8696,0.0458,1.6726
가격_SMA50_위 + BB_하단터치(1.5σ),2,25,0.84,0.0428,1.7072
가격_SMA50_위 + BB_하단터치(1.5σ) + BB_%B_과매도(0.2이하),3,25,0.84,0.0428,1.7072
가격_SMA50_위 + BB_하단터치(1.5σ) + STOCH14_과매도(20이하),3,22,0.8182,0.0433,1.4145
가격_SMA200_위 + 가격_SMA50_위 + BB_하단터치(1.5σ),3,21,0.8095,0.0267,0.7032
RSI14_중립반등(40~50) + BB_%B_과매도(0.2이하) + ADX14_추세상승(+DI>-DI),3,27,0.7407,0.0401,1.3495
RSI14_중립반등(40~50) + RSI7_과매도(25이하) + BB_하단터치(1.5σ),3,37,0.7297,0.0397,2.8238
BB_%B_과매도(0.2이하) + ADX14_추세상승(+DI>-DI),2,32,0.7188,0.0357,1.3622
가격_SMA50_위 + BB_%B_과매도(0.2이하) + ADX14_강세(25이상),3,32,0.7188,0.0251,0.9781
가격_SMA50_위 + BB_%B_과매도(0.2이하) + STOCH21_과매도(20이하),3,45,0.7111,0.018,0.8465
RSI14_중립반등(40~50) + BB_하단터치(1.5σ) + ADX14_강세(25이상),3,27,0.7037,0.0267,0.8443
BB_%B_과매도(0.2이하) + STOCH21_과매도(20이하) + ADX14_추세상승(+DI>-DI),3,27,0.7037,0.0263,0.6028
BB_%B_과매도(0.2이하) + STOCH14_과매도(20이하) + ADX14_추세상승(+DI>-DI),3,29,0.6897,0.0236,0.5626
RSI14_중립반등(40~50) + 가격_SMA200_위 + BB_하단터치(1.5σ),3,35,0.6857,0.0299,1.5503
RSI14_중립반등(40~50) + BB_하단터치(1.5σ) + STOCH14_과매도(20이하),3,76,0.6711,0.0352,9.801
RSI14_중립반등(40~50) + BB_하단터치(1.5σ) + STOCH21_과매도(20이하),3,79,0.6709,0.0325,8.5732
RSI14_중립반등(40~50) + BB_하단터치(1.5σ),2,81,0.6667,0.0325,9.1795
RSI14_중립반등(40~50) + BB_하단터치(1.5σ) + BB_%B_과매도(0.2이하),3,81,0.6667,0.0325,9.1795
가격_SMA50_위 + BB_%B_과매도(0.2이하),2,60,0.6667,0.0186,1.2617
가격_SMA200_위 + 가격_SMA50_위 + BB_%B_과매도(0.2이하),3,48,0.6667,0.015,0.6783
RSI14_중립반등(40~50) + 가격_SMA50_위 + BB_%B_과매도(0.2이하),3,30,0.6667,0.0236,0.7282
가격_SMA50_위 + BB_%B_과매도(0.2이하) + STOCH14_과매도(20이하),3,47,0.6596,0.0085,0.1958
BB_%B_과매도(0.2이하) + STOCH14_과매도(20이하) + OBV_SMA위,3,47,0.6596,0.0526,6.6751
RSI14_중립반등(40~50) + SMA20_골든크로스(50) + OBV_SMA위,3,38,0.6579,0.0373,2.2018
가격_SMA50_위 + STOCH21_과매도(20이하) + ADX14_강세(25이상),3,32,0.6562,0.0189,0.6762
EMA7_골든크로스(20) + ADX14_강세(25이상) + OBV_SMA위,3,26,0.6538,0.0064,-0.0601
가격_SMA200_위 + BB_%B_과매도(0.2이하) + 거래량_증가(1.5배),3,23,0.6522,0.0248,0.5198
RSI14_중립반등(40~50) + 거래량_증가(1.5배) + OBV_SMA위,3,20,0.65,0.0333,0.6298
BB_%B_중간반등 + 거래량_증가(1.5배),2,54,0.6481,0.0536,7.9672
가격_SMA50_위 + STOCH14_과매도(20이하) + OBV_SMA위,3,34,0.6471,0.0479,2.7359
BB_%B_중간반등 + 거래량_증가(1.5배) + OBV_SMA위,3,31,0.6452,0.0639,2.8973
가격_SMA200_위 + 가격_SMA50_위 + STOCH21_과매도(20이하),3,50,0.64,0.0033,-0.044
BB_%B_과매도(0.2이하) + STOCH21_과매도(20이하) + OBV_SMA위,3,50,0.64,0.0522,7.6029
STOCH14_골든크로스 + 거래량_급증(2배이상),2,25,0.64,0.0509,1.8537
MACD_히스토_증가 + BB_%B_중간반등 + 거래량_증가(1.5배),3,25,0.64,0.0129,0.2177
