date,symbol,open,high,low,close,volume
2017-11-01,BNBUSDT,0.1032,0.1032,0.0993,0.1,4.54
2017-11-02,BNBUSDT,0.1,0.1202,0.1,0.1152,12.81
2017-11-03,BNBUSDT,0.1152,0.1183,0.1101,0.1136,4.94
2017-11-04,BNBUSDT,0.1136,0.1292,0.1136,0.1241,6.8
2017-11-05,BNBUSDT,0.1241,0.1241,0.1192,0.1201,1.6
2017-11-06,BNBUSDT,0.1201,0.1332,0.1107,0.125,3.99
2017-11-07,BNBUSDT,0.125,0.1319,0.1113,0.1288,1.84
2017-11-08,BNBUSDT,0.1288,0.1425,0.1288,0.1383,9.79
2017-11-09,BNBUSDT,0.1383,0.1402,0.1279,0.1306,7.09
2017-11-10,BNBUSDT,0.1306,0.1306,0.1136,0.1301,0.97
2017-11-11,BNBUSDT,0.1301,0.1336,0.129,0.1329,1.71
2017-11-12,BNBUSDT,0.1329,0.1329,0.1161,0.1215,10.05
2017-11-13,BNBUSDT,0.1215,0.1238,0.1129,0.1185,7.88
2017-11-14,BNBUSDT,0.1185,0.1245,0.1176,0.1185,2.1
2017-11-15,BNBUSDT,0.1185,0.13,0.1185,0.1277,3.39
2017-11-16,BNBUSDT,0.1277,0.1367,0.1277,0.1362,2.92
2017-11-17,BNBUSDT,0.1362,0.147,0.136,0.141,9.54
2017-11-18,BNBUSDT,0.141,0.1661,0.141,0.1558,12.6
2017-11-19,BNBUSDT,0.1558,0.1558,0.152,0.1521,2.06
2017-11-20,BNBUSDT,0.1521,0.1521,0.1439,0.1453,2.45
2017-11-21,BNBUSDT,0.1453,0.1648,0.1453,0.1631,9.55
2017-11-22,BNBUSDT,0.1631,0.1779,0.1577,0.1675,3.66
2017-11-23,BNBUSDT,0.1675,0.1675,0.1434,0.1503,12.17
2017-11-24,BNBUSDT,0.1503,0.1653,0.1503,0.1618,3.37
2017-11-25,BNBUSDT,0.1618,0.1695,0.1575,0.1632,3.84
2017-11-26,BNBUSDT,0.1632,0.1839,0.1632,0.1721,6.99
2017-11-27,BNBUSDT,0.1721,0.2044,0.1721,0.1937,5.31
2017-11-28,BNBUSDT,0.1937,0.2534,0.1937,0.2282,13.66
