date,symbol,open,high,low,close,volume
2017-08-17,ETHUSDT,300.6105,317.2989,295.9223,300.0,24354.37
2017-08-18,ETHUSDT,300.0,314.4413,300.0,308.3404,32739.53
2017-08-19,ETHUSDT,308.3404,331.5065,291.6888,315.6906,13390.8
2017-08-20,ETHUSDT,315.6906,333.8111,315.6906,331.5369,17512.06
2017-08-21,ETHUSDT,331.5369,340.9477,318.8597,327.5051,8487.3
2017-08-22,ETHUSDT,327.5051,366.1539,327.5051,354.2238,38846.95
2017-08-23,ETHUSDT,354.2238,415.4695,354.2238,390.6042,48158.62
2017-08-24,ETHUSDT,390.6042,404.1159,378.4859,395.2704,29939.77
2017-08-25,ETHUSDT,395.2704,421.8231,395.2704,402.5416,9984.01
2017-08-26,ETHUSDT,402.5416,442.408,396.5306,418.2551,17383.61
2017-08-27,ETHUSDT,418.2551,418.2551,347.1313,377.0729,50150.57
2017-08-28,ETHUSDT,377.0729,377.0729,320.163,355.3511,28777.62
2017-08-29,ETHUSDT,355.3511,391.1596,336.8057,366.7279,32680.05
2017-08-30,ETHUSDT,366.7279,402.9763,366.5103,372.5299,32417.87
2017-08-31,ETHUSDT,372.5299,372.5299,342.0109,348.4447,15452.59
2017-09-01,ETHUSDT,348.4447,353.4974,321.067,334.909,14500.25
2017-09-02,ETHUSDT,334.909,338.2709,315.503,327.2956,20910.69
2017-09-03,ETHUSDT,327.2956,330.2214,307.2432,323.8788,10060.13
2017-09-04,ETHUSDT,323.8788,333.8086,290.7062,311.2848,42869.14
2017-09-05,ETHUSDT,311.2848,320.9027,276.4525,297.8685,11304.02
2017-09-06,ETHUSDT,297.8685,310.0902,291.0912,300.5006,7889.76
2017-09-07,ETHUSDT,300.5006,323.2665,294.361,312.9772,33584.0
2017-09-08,ETHUSDT,312.9772,312.9772,285.0785,297.8484,24591.64
2017-09-09,ETHUSDT,297.8484,297.8484,257.2041,266.2082,84546.97
2017-09-10,ETHUSDT,266.2082,270.548,242.3656,265.7285,15915.71
2017-09-11,ETHUSDT,265.7285,301.8999,263.2821,278.7741,24335.7
2017-09-12,ETHUSDT,278.7741,283.8028,257.1045,271.9139,14443.83
2017-09-13,ETHUSDT,271.9139,287.3115,271.9139,276.0738,33555.78
2017-09-14,ETHUSDT,276.0738,287.6474,255.8989,268.2234,23723.81
2017-09-15,ETHUSDT,268.2234,270.2206,256.4536,261.4613,10951.26
2017-09-16,ETHUSDT,261.4613,274.7526,250.1128,272.0489,26864.37
2017-09-17,ETHUSDT,272.0489,300.2765,272.0489,296.4405,30370.21
2017-09-18,ETHUSDT,296.4405,297.6515,291.0942,292.9772,16686.07
2017-09-19,ETHUSDT,292.9772,311.4759,286.5754,302.1368,27016.5
2017-09-20,ETHUSDT,302.1368,325.9543,302.1368,322.6203,19633.34
2017-09-21,ETHUSDT,322.6203,343.0618,317.0189,326.4464,51750.27
2017-09-22,ETHUSDT,326.4464,355.6409,326.4464,342.5819,15244.29
2017-09-23,ETHUSDT,342.5819,342.5819,329.7622,332.8779,20417.42
2017-09-24,ETHUSDT,332.8779,336.1443,313.6267,323.7595,13027.05
2017-09-25,ETHUSDT,323.7595,343.6851,308.1058,324.5907,13210.13
2017-09-26,ETHUSDT,324.5907,324.5928,315.697,323.4753,10235.75
2017-09-27,ETHUSDT,323.4753,323.4753,275.4352,303.8156,34568.32
2017-09-28,ETHUSDT,303.8156,336.0367,294.1749,314.7092,24781.01
2017-09-29,ETHUSDT,314.7092,314.7092,291.4211,299.5829,12326.46
2017-09-30,ETHUSDT,299.5829,316.4582,265.9188,298.1055,26727.71
2017-10-01,ETHUSDT,298.1055,298.1055,268.9816,283.851,8349.13
2017-10-02,ETHUSDT,283.851,306.9468,274.388,286.1293,21009.19
2017-10-03,ETHUSDT,286.1293,312.9346,286.1293,298.2149,9738.41
2017-10-04,ETHUSDT,298.2149,321.7837,298.2149,318.7866,27710.6
2017-10-05,ETHUSDT,318.7866,320.1413,298.9776,306.0438,16357.94
