date,symbol,open,high,low,close,volume
2020-04-10,SOLUSDT,0.5261,0.5289,0.4632,0.52,66.43
2020-04-11,SOLUSDT,0.52,0.52,0.4836,0.5039,39.42
2020-04-12,SOLUSDT,0.5039,0.5039,0.4453,0.4592,59.15
2020-04-13,SOLUSDT,0.4592,0.4673,0.413,0.4487,58.16
2020-04-14,SOLUSDT,0.4487,0.471,0.4487,0.4524,28.89
2020-04-15,SOLUSDT,0.4524,0.5101,0.4524,0.5013,56.56
2020-04-16,SOLUSDT,0.5013,0.514,0.4876,0.497,28.82
2020-04-17,SOLUSDT,0.497,0.5039,0.4567,0.4743,26.68
2020-04-18,SOLUSDT,0.4743,0.4743,0.4259,0.4447,47.62
2020-04-19,SOLUSDT,0.4447,0.4942,0.4447,0.4743,98.87
2020-04-20,SOLUSDT,0.4743,0.4743,0.4131,0.4314,72.29
2020-04-21,SOLUSDT,0.4314,0.4314,0.3988,0.4,41.59
2020-04-22,SOLUSDT,0.4,0.4471,0.4,0.4376,28.18
2020-04-23,SOLUSDT,0.4376,0.5086,0.4376,0.4715,54.85
2020-04-24,SOLUSDT,0.4715,0.4935,0.4597,0.4898,62.77
2020-04-25,SOLUSDT,0.4898,0.4989,0.4898,0.4945,29.81
2020-04-26,SOLUSDT,0.4945,0.5066,0.4222,0.4687,63.6
2020-04-27,SOLUSDT,0.4687,0.4704,0.3957,0.4211,83.78
2020-04-28,SOLUSDT,0.4211,0.4761,0.4211,0.4695,45.36
2020-04-29,SOLUSDT,0.4695,0.4695,0.3822,0.4286,57.22
2020-04-30,SOLUSDT,0.4286,0.4302,0.4112,0.4116,92.93
2020-05-01,SOLUSDT,0.4116,0.4751,0.4116,0.4412,188.06
2020-05-02,SOLUSDT,0.4412,0.4492,0.3873,0.4276,72.89
2020-05-03,SOLUSDT,0.4276,0.462,0.4276,0.4599,118.24
2020-05-04,SOLUSDT,0.4599,0.4599,0.4248,0.4437,34.8
2020-05-05,SOLUSDT,0.4437,0.4585,0.4293,0.4529,66.45
2020-05-06,SOLUSDT,0.4529,0.4916,0.4407,0.4665,12.38
2020-05-07,SOLUSDT,0.4665,0.4857,0.4198,0.4622,14.72
