date,symbol,open,high,low,close,volume
2017-08-17,BTCUSDT,4029.87,4288.79,3879.82,4000.0,109854.42
2017-08-18,BTCUSDT,4000.0,4212.99,4000.0,4156.78,145730.49
2017-08-19,BTCUSDT,4156.78,4159.97,4129.8,4158.23,56159.18
2017-08-20,BTCUSDT,4158.23,4227.06,3856.24,4135.82,60700.84
2017-08-21,BTCUSDT,4135.82,4145.86,4043.75,4113.53,51346.1
2017-08-22,BTCUSDT,4113.53,4958.62,4113.53,4561.62,135891.87
2017-08-23,BTCUSDT,4561.62,4929.47,4561.62,4818.05,94922.09
2017-08-24,BTCUSDT,4818.05,4902.58,4527.88,4724.89,120049.16
2017-08-25,BTCUSDT,4724.89,5043.26,4632.68,4923.61,58299.13
2017-08-26,BTCUSDT,4923.61,5258.27,4923.61,5038.98,53539.66
2017-08-27,BTCUSDT,5038.98,5038.98,4465.19,4531.49,143871.52
2017-08-28,BTCUSDT,4531.49,4531.49,4231.45,4301.34,105030.15
2017-08-29,BTCUSDT,4301.34,4749.88,4301.34,4421.26,98198.1
2017-08-30,BTCUSDT,4421.26,4877.94,4421.26,4869.58,132821.91
2017-08-31,BTCUSDT,4869.58,5144.88,4718.51,4845.77,47270.52
2017-09-01,BTCUSDT,4845.77,5009.99,4657.44,4730.77,67256.71
2017-09-02,BTCUSDT,4730.77,4827.23,4668.42,4803.7,69411.2
2017-09-03,BTCUSDT,4803.7,4803.7,4536.02,4673.89,67359.75
2017-09-04,BTCUSDT,4673.89,4678.11,4273.03,4632.68,127419.78
2017-09-05,BTCUSDT,4632.68,4872.36,4630.79,4669.12,47964.01
2017-09-06,BTCUSDT,4669.12,4669.12,4325.62,4420.05,48785.98
2017-09-07,BTCUSDT,4420.05,4755.35,4420.05,4683.98,100256.24
2017-09-08,BTCUSDT,4683.98,4707.46,4326.0,4390.93,104275.49
2017-09-09,BTCUSDT,4390.93,4390.93,4012.3,4089.79,188490.96
