date,google_trend_bitcoin
2017-01-01,7
2017-01-08,6
2017-01-15,4
2017-01-22,4
2017-01-29,4
2017-02-05,5
2017-02-12,4
2017-02-19,5
2017-02-26,6
2017-03-05,7
2017-03-12,6
2017-03-19,5
2017-03-26,5
2017-04-02,5
2017-04-09,5
2017-04-16,5
2017-04-23,5
2017-04-30,7
2017-05-07,10
2017-05-14,12
2017-05-21,19
2017-05-28,12
2017-06-04,13
2017-06-11,13
2017-06-18,11
2017-06-25,11
2017-07-02,9
2017-07-09,10
2017-07-16,12
2017-07-23,11
2017-07-30,15
2017-08-06,15
2017-08-13,20
2017-08-20,16
2017-08-27,17
2017-09-03,18
2017-09-10,22
2017-09-17,16
2017-09-24,13
2017-10-01,13
2017-10-08,19
2017-10-15,20
2017-10-22,20
2017-10-29,27
2017-11-05,29
2017-11-12,32
2017-11-19,27
2017-11-26,65
2017-12-03,97
2017-12-10,84
2017-12-17,100
2017-12-24,64
2017-12-31,49
2018-01-07,45
2018-01-14,59
2018-01-21,39
2018-01-28,40
2018-02-04,47
2018-02-11,28
2018-02-18,24
2018-02-25,20
2018-03-04,20
2018-03-11,20
2018-03-18,18
2018-03-25,18
2018-04-01,18
2018-04-08,16
2018-04-15,14
2018-04-22,15
2018-04-29,13
2018-05-06,13
2018-05-13,11
2018-05-20,11
2018-05-27,10
2018-06-03,9
2018-06-10,12
2018-06-17,10
2018-06-24,11
2018-07-01,10
2018-07-08,9
2018-07-15,11
2018-07-22,12
2018-07-29,10
2018-08-05,11
2018-08-12,10
2018-08-19,10
2018-08-26,9
2018-09-02,11
2018-09-09,9
2018-09-16,9
2018-09-23,9
2018-09-30,8
2018-10-07,8
2018-10-14,8
2018-10-21,7
2018-10-28,7
2018-11-04,8
2018-11-11,10
2018-11-18,14
2018-11-25,14
2018-12-02,11
2018-12-09,11
2018-12-16,12
2018-12-23,10
2018-12-30,9
2019-01-06,9
2019-01-13,8
2019-01-20,7
2019-01-27,7
2019-02-03,8
2019-02-10,7
2019-02-17,8
2019-02-24,8
2019-03-03,7
2019-03-10,7
2019-03-17,7
2019-03-24,7
2019-03-31,12
2019-04-07,10
2019-04-14,8
2019-04-21,9
2019-04-28,9
2019-05-05,11
2019-05-12,18
2019-05-19,14
2019-05-26,14
2019-06-02,12
2019-06-09,11
2019-06-16,17
2019-06-23,27
2019-06-30,17
2019-07-07,16
2019-07-14,16
2019-07-21,13
2019-07-28,12
2019-08-04,15
2019-08-11,13
2019-08-18,12
2019-08-25,11
2019-09-01,11
2019-09-08,10
2019-09-15,9
2019-09-22,12
2019-09-29,10
2019-10-06,9
2019-10-13,9
2019-10-20,11
2019-10-27,10
2019-11-03,9
2019-11-10,8
2019-11-17,10
2019-11-24,10
2019-12-01,9
2019-12-08,8
2019-12-15,9
2019-12-22,8
2019-12-29,8
2020-01-05,11
2020-01-12,11
2020-01-19,10
2020-01-26,10
2020-02-02,10
2020-02-09,12
2020-02-16,11
2020-02-23,11
2020-03-01,10
2020-03-08,20
