entry_time,direction,entry,exit,exit_type,pnl_pct,win,prob
2023-07-30,LONG,29295.73,29442.21,tp,0.004,1,0.8
2023-07-31,LONG,29246.87,29393.1,tp,0.004,1,0.8191
2023-08-01,SHORT,29691.14,29542.68,tp,0.004025,1,0.8843
2023-08-02,SHORT,29171.42,29025.56,tp,0.004025,1,0.8395
2023-08-03,SHORT,29179.04,29033.15,tp,0.004025,1,0.7776
2023-08-05,LONG,29086.67,28999.41,sl,-0.004,0,0.8341
2023-08-06,SHORT,29073.88,28928.51,tp,0.004025,1,0.7896
2023-08-07,LONG,29225.67,29371.79,tp,0.004,1,0.7516
2023-08-08,SHORT,29755.53,29606.76,tp,0.004025,1,0.9306
2023-08-09,SHORT,29567.2,29419.36,tp,0.004025,1,0.8566
2023-08-10,SHORT,29441.02,29293.82,tp,0.004025,1,0.8172
2023-08-11,SHORT,29411.32,29264.26,tp,0.004025,1,0.8625
2023-08-12,SHORT,29415.45,29268.38,tp,0.004025,1,0.8666
2023-08-13,SHORT,29289.19,29142.74,tp,0.004025,1,0.831
2023-08-14,SHORT,29416.21,29269.13,tp,0.004025,1,0.756
2023-08-15,SHORT,29185.4,29039.47,tp,0.004025,1,0.8164
2023-08-16,SHORT,28716.14,28572.56,tp,0.004025,1,0.7839
2023-08-17,SHORT,26610.1,26477.05,tp,0.004025,1,0.9147
2023-08-18,SHORT,26040.97,25910.77,tp,0.004025,1,0.8703
2023-08-19,LONG,26113.06,26243.63,tp,0.004,1,0.7318
2023-08-20,SHORT,26176.9,26046.01,tp,0.004025,1,0.852
2023-08-21,SHORT,26113.86,25983.29,tp,0.004025,1,0.8425
2023-08-22,SHORT,26042.97,25912.76,tp,0.004025,1,0.8537
2023-08-23,SHORT,26419.5,26287.41,tp,0.004025,1,0.8803
2023-08-24,SHORT,26166.96,26036.13,tp,0.004025,1,0.8361
2023-08-25,LONG,26073.04,25994.82,sl,-0.004,0,0.617
2023-08-26,LONG,26030.38,26160.53,tp,0.004,1,0.8229
2023-08-27,LONG,26114.82,26245.39,tp,0.004,1,0.8327
2023-08-28,SHORT,26106.94,25976.41,tp,0.004025,1,0.8695
2023-08-29,SHORT,27702.48,27563.97,tp,0.004025,1,0.9224
