entry_time,direction,entry,exit,exit_type,hold_bars,funding,pnl_pct,win,prob
2025-10-08 03:00:00,LONG,121435.44,122649.79,tp,5,6.3e-05,0.008938,1,0.6309
2025-10-08 05:00:00,LONG,121434.7,122649.04,tp,3,3.8e-05,0.008963,1,0.6342
2025-10-13 10:00:00,LONG,114868.03,114178.82,sl,1,1.3e-05,-0.007013,0,0.5952
2025-10-13 11:00:00,LONG,114237.09,115379.46,tp,2,2.5e-05,0.008975,1,0.6153
2025-10-20 17:00:00,LONG,110337.9,109675.87,sl,8,0.0001,-0.0071,0,0.5885
2025-11-04 01:00:00,SHORT,106986.49,105916.63,tp,4,5e-05,0.009051,1,0.6102
2025-11-06 00:00:00,SHORT,103625.88,102589.62,tp,12,0.00015,0.008951,1,0.6464
2025-11-06 01:00:00,SHORT,103313.97,103933.85,sl,3,3.8e-05,-0.007002,0,0.6448
2025-11-06 02:00:00,SHORT,103270.15,103889.77,sl,1,1.3e-05,-0.006977,0,0.652
2025-11-06 03:00:00,SHORT,103584.21,102548.37,tp,9,0.000113,0.008989,1,0.6651
2025-11-06 04:00:00,SHORT,103978.77,102938.99,tp,3,3.8e-05,0.009064,1,0.641
2025-11-10 12:00:00,LONG,105997.14,105361.16,sl,2,2.5e-05,-0.007025,0,0.648
2025-11-10 15:00:00,LONG,105132.53,106183.86,tp,5,6.3e-05,0.008938,1,0.5993
2025-11-13 01:00:00,SHORT,101956.0,100936.44,tp,2,2.5e-05,0.009076,1,0.6038
2025-11-13 02:00:00,SHORT,102013.38,100993.24,tp,1,1.3e-05,0.009089,1,0.5883
2025-11-20 04:00:00,SHORT,92916.35,91987.19,tp,2,2.5e-05,0.009076,1,0.5887
2025-12-01 07:00:00,SHORT,86507.02,85641.95,tp,5,6.3e-05,0.009039,1,0.5835
2025-12-01 08:00:00,SHORT,86826.08,85957.81,tp,4,5e-05,0.009051,1,0.5873
2025-12-01 09:00:00,SHORT,86661.51,85794.89,tp,3,3.8e-05,0.009064,1,0.6014
2025-12-17 01:00:00,SHORT,87508.52,86633.44,tp,4,5e-05,0.009051,1,0.582
2025-12-17 02:00:00,SHORT,87439.3,86564.91,tp,3,3.8e-05,0.009064,1,0.5887
2025-12-29 15:00:00,SHORT,87647.77,87422.69,timeout,12,0.00015,0.001425,1,0.5838
2026-01-04 16:00:00,LONG,91366.66,92280.33,tp,8,0.0001,0.0089,1,0.6397
2026-01-04 17:00:00,LONG,91381.4,92295.21,tp,7,8.7e-05,0.008913,1,0.6332
2026-01-04 18:00:00,LONG,91250.99,92163.5,tp,6,7.5e-05,0.008925,1,0.5855
2026-01-21 04:00:00,LONG,89493.61,88956.65,sl,7,8.7e-05,-0.007087,0,0.622
