entry_time,direction,entry,exit,exit_type,pnl_pct,win,prob
2024-01-09 12:55:00,SHORT,46143.27,46281.7,sl,-0.003991,0,0.5975
2024-02-28 20:25:00,LONG,59978.14,60278.03,tp,0.004,1,0.5962
2024-03-05 07:25:00,LONG,66894.62,66693.94,sl,-0.004,0,0.5811
2024-03-05 19:50:00,LONG,61375.33,61191.21,sl,-0.004,0,0.6004
2024-03-05 20:35:00,LONG,61812.71,62121.77,tp,0.004,1,0.5956
2024-03-05 22:20:00,LONG,62527.45,62840.09,tp,0.004,1,0.5902
2024-03-15 08:25:00,LONG,67713.82,67510.68,sl,-0.004,0,0.5811
2024-04-13 20:05:00,LONG,61773.34,62082.21,tp,0.004,1,0.6411
2024-04-13 20:10:00,LONG,62574.27,62386.55,sl,-0.004,0,0.6172
2024-04-13 20:15:00,LONG,62160.77,62471.58,tp,0.004,1,0.6061
2024-04-13 20:45:00,LONG,61669.91,61978.26,tp,0.004,1,0.6216
2024-04-14 03:00:00,LONG,62672.4,62484.38,sl,-0.004,0,0.5841
2024-04-19 10:15:00,LONG,64765.02,64570.72,sl,-0.004,0,0.5811
2024-07-05 06:20:00,LONG,54429.21,54265.92,sl,-0.004,0,0.583
2024-07-05 15:30:00,LONG,56478.21,56760.61,tp,0.004,1,0.5916
2024-07-05 15:45:00,LONG,56463.31,56745.62,tp,0.004,1,0.5913
2024-07-05 16:00:00,LONG,56620.31,56450.45,sl,-0.004,0,0.5832
2024-07-05 16:05:00,LONG,56486.21,56768.64,tp,0.004,1,0.5807
2024-07-07 00:50:00,LONG,57980.26,58130.4,timeout,0.00159,1,0.58
2024-07-07 00:55:00,LONG,57960.76,58250.56,tp,0.004,1,0.5804
2024-07-07 05:00:00,LONG,57562.91,57683.27,timeout,0.001091,1,0.5886
2024-07-07 21:25:00,LONG,56264.1,56545.42,tp,0.004,1,0.5848
2024-07-14 21:45:00,LONG,61103.83,61409.35,tp,0.004,1,0.581
2024-07-31 19:45:00,LONG,65566.77,65370.07,sl,-0.004,0,0.5837
2024-08-05 01:10:00,LONG,53954.96,54224.74,tp,0.004,1,0.623
2024-08-05 01:20:00,LONG,53942.3,54212.01,tp,0.004,1,0.5955
2024-08-05 02:00:00,LONG,53831.01,54100.17,tp,0.004,1,0.6632
2024-08-05 04:50:00,LONG,53532.74,53372.14,sl,-0.004,0,0.6363
2024-08-05 06:10:00,LONG,51631.93,51477.04,sl,-0.004,0,0.6228
2024-08-05 06:15:00,LONG,50919.45,50766.69,sl,-0.004,0,0.5986
2024-08-05 06:20:00,LONG,49363.16,49609.98,tp,0.004,1,0.6864
2024-08-05 06:25:00,SHORT,49987.01,50136.98,sl,-0.003991,0,0.6404
2024-08-05 06:30:00,SHORT,50928.53,50673.89,tp,0.004025,1,0.6325
2024-08-05 09:45:00,LONG,51900.2,52159.7,tp,0.004,1,0.5937
2024-08-05 10:35:00,LONG,50711.34,50964.9,tp,0.004,1,0.5954
2024-08-05 11:25:00,LONG,50905.45,51159.98,tp,0.004,1,0.6157
2024-08-05 11:30:00,LONG,50927.46,50774.68,sl,-0.004,0,0.5831
2024-08-05 12:15:00,LONG,50443.23,50291.9,sl,-0.004,0,0.6284
2024-08-05 12:20:00,SHORT,50254.24,50002.97,tp,0.004025,1,0.5858
2024-08-05 12:25:00,SHORT,50136.93,49886.24,tp,0.004025,1,0.5824
2024-08-05 12:30:00,SHORT,50281.98,50432.82,sl,-0.003991,0,0.5879
2024-08-05 12:40:00,LONG,50945.47,50792.63,sl,-0.004,0,0.5804
2024-08-05 12:45:00,LONG,50602.89,50451.08,sl,-0.004,0,0.5863
2024-08-05 12:50:00,LONG,49991.6,49841.63,sl,-0.004,0,0.6434
2024-08-05 13:10:00,LONG,50017.01,49866.95,sl,-0.004,0,0.5813
2024-08-05 13:30:00,LONG,51299.63,51556.13,tp,0.004,1,0.6168
2024-08-05 13:35:00,SHORT,51757.49,51498.7,tp,0.004025,1,0.5965
2024-08-05 13:45:00,SHORT,52167.9,51907.06,tp,0.004025,1,0.5881
2024-08-05 14:35:00,SHORT,53829.73,53991.22,sl,-0.003991,0,0.5845
2024-08-05 15:05:00,SHORT,54327.98,54490.97,sl,-0.003991,0,0.5872
2024-08-05 19:10:00,LONG,52779.8,52621.46,sl,-0.004,0,0.5828
2024-08-08 03:35:00,LONG,57330.65,57158.66,sl,-0.004,0,0.6002
2024-08-08 03:40:00,LONG,57398.67,57226.48,sl,-0.004,0,0.5845
2024-08-08 04:00:00,LONG,57061.86,56890.67,sl,-0.004,0,0.5846
2024-08-08 04:05:00,LONG,56980.48,56809.53,sl,-0.004,0,0.5802
2024-08-08 04:25:00,LONG,57026.69,56855.61,sl,-0.004,0,0.5838
2024-08-08 04:40:00,LONG,56866.99,56696.39,sl,-0.004,0,0.5881
2024-08-08 04:45:00,LONG,56908.74,56738.01,sl,-0.004,0,0.5863
2024-08-08 04:50:00,LONG,56818.68,56902.91,timeout,0.000483,1,0.6007
2024-08-08 04:55:00,LONG,56793.72,56927.14,timeout,0.001349,1,0.5815
2024-08-08 12:30:00,LONG,58411.2,58235.97,sl,-0.004,0,0.5867
2024-08-12 07:15:00,LONG,57923.34,58212.95,tp,0.004,1,0.5933
2024-08-18 23:35:00,LONG,58941.1,58764.27,sl,-0.004,0,0.6125
2024-08-18 23:40:00,LONG,58833.4,58656.9,sl,-0.004,0,0.5974
2024-08-18 23:45:00,LONG,58643.31,58467.38,sl,-0.004,0,0.5831
2024-08-18 23:50:00,LONG,58556.78,58381.11,sl,-0.004,0,0.5923
2024-08-19 00:00:00,LONG,58403.19,58695.2,tp,0.004,1,0.6331
2024-08-19 00:05:00,LONG,58392.52,58684.48,tp,0.004,1,0.6132
2024-08-19 00:20:00,LONG,58407.34,58232.12,sl,-0.004,0,0.6011
2024-08-19 05:45:00,LONG,58476.83,58626.1,timeout,0.001553,1,0.5814
2024-08-20 05:05:00,LONG,60922.43,61227.04,tp,0.004,1,0.5942
2024-08-20 14:30:00,LONG,60011.99,59831.96,sl,-0.004,0,0.5806
2024-08-20 14:55:00,LONG,59491.53,59313.06,sl,-0.004,0,0.6027
2024-08-20 21:15:00,LONG,59073.52,59368.89,tp,0.004,1,0.5856
2024-08-20 23:55:00,LONG,59043.31,58959.51,timeout,-0.002419,0,0.6193
2024-09-01 05:35:00,LONG,57852.31,58141.57,tp,0.004,1,0.5807
2024-09-02 07:55:00,LONG,57576.76,57864.65,tp,0.004,1,0.581
2024-09-03 03:05:00,LONG,59297.63,59119.74,sl,-0.004,0,0.5864
