entry_time,direction,entry,exit,exit_type,hold_bars,funding,pnl_pct,win,prob
2025-11-25 08:00:00,LONG,135.51,136.86,tp,4,5e-05,0.00895,1,0.5905
2025-12-13 14:00:00,SHORT,133.12,131.79,tp,7,8.7e-05,0.009014,1,0.5988
2025-12-20 22:00:00,SHORT,125.97,124.71,tp,4,5e-05,0.009051,1,0.6334
2025-12-20 23:00:00,SHORT,125.75,126.5,sl,10,0.000125,-0.007089,0,0.6295
2025-12-21 00:00:00,SHORT,125.97,124.71,tp,2,2.5e-05,0.009076,1,0.6367
2025-12-21 11:00:00,SHORT,125.42,124.16,tp,2,2.5e-05,0.009076,1,0.592
2025-12-21 22:00:00,LONG,125.88,127.14,tp,2,2.5e-05,0.008975,1,0.5828
2025-12-29 17:00:00,SHORT,123.84,122.6,tp,9,0.000113,0.008989,1,0.6067
2025-12-31 17:00:00,SHORT,124.98,125.73,sl,3,3.8e-05,-0.007002,0,0.6314
2025-12-31 18:00:00,SHORT,124.73,125.48,sl,2,2.5e-05,-0.006989,0,0.6292
2025-12-31 19:00:00,SHORT,124.33,125.07,sl,1,1.3e-05,-0.006977,0,0.6105
2026-01-17 22:00:00,SHORT,143.69,142.25,tp,3,3.8e-05,0.009064,1,0.5882
2026-01-19 23:00:00,SHORT,133.37,134.17,sl,2,2.5e-05,-0.006989,0,0.5834
2026-01-21 03:00:00,LONG,127.67,126.91,sl,8,0.0001,-0.0071,0,0.6399
2026-01-21 04:00:00,LONG,127.83,127.07,sl,4,5e-05,-0.00705,0,0.6028
2026-01-21 06:00:00,LONG,128.3,127.53,sl,1,1.3e-05,-0.007013,0,0.5998
2026-01-21 09:00:00,LONG,127.53,126.77,sl,3,3.8e-05,-0.007038,0,0.6116
2026-01-21 10:00:00,LONG,127.79,127.03,sl,1,1.3e-05,-0.007013,0,0.5987
2026-01-21 12:00:00,LONG,127.48,128.76,tp,2,2.5e-05,0.008975,1,0.6253
2026-01-21 13:00:00,LONG,127.16,128.44,tp,1,1.3e-05,0.008988,1,0.5983
2026-03-12 00:00:00,SHORT,86.64,85.77,tp,2,2.5e-05,0.009076,1,0.5862
2026-03-12 05:00:00,SHORT,85.09,85.6,sl,2,2.5e-05,-0.006989,0,0.6083
2026-03-12 06:00:00,SHORT,85.35,85.86,sl,1,1.3e-05,-0.006977,0,0.6161
2026-03-12 07:00:00,SHORT,85.78,86.29,sl,2,2.5e-05,-0.006989,0,0.66
2026-03-12 08:00:00,SHORT,85.92,86.43,sl,1,1.3e-05,-0.006977,0,0.6656
2026-03-12 09:00:00,SHORT,86.14,86.65,sl,1,1.3e-05,-0.006977,0,0.6146
2026-03-12 11:00:00,SHORT,86.75,87.27,sl,1,1.3e-05,-0.006977,0,0.6242
2026-03-16 02:00:00,LONG,91.53,92.44,tp,1,1.3e-05,0.008988,1,0.5917
2026-03-18 01:00:00,SHORT,94.38,94.95,sl,1,1.3e-05,-0.006977,0,0.6225
2026-03-18 03:00:00,SHORT,95.0,94.05,tp,1,1.3e-05,0.009089,1,0.6223
2026-03-18 04:00:00,SHORT,94.08,93.14,tp,7,8.7e-05,0.009014,1,0.6588
2026-03-18 05:00:00,SHORT,93.87,94.44,sl,1,1.3e-05,-0.006977,0,0.6395
2026-03-18 06:00:00,SHORT,94.16,93.22,tp,5,6.3e-05,0.009039,1,0.6052
2026-03-18 07:00:00,SHORT,93.9,92.96,tp,4,5e-05,0.009051,1,0.6016
2026-03-18 13:00:00,SHORT,90.27,89.37,tp,1,1.3e-05,0.009089,1,0.584
2026-03-20 07:00:00,SHORT,89.33,89.86,sl,1,1.3e-05,-0.006977,0,0.5935
2026-03-20 09:00:00,SHORT,88.93,89.46,sl,1,1.3e-05,-0.006977,0,0.6878
2026-03-20 11:00:00,SHORT,89.11,89.64,sl,3,3.8e-05,-0.007002,0,0.6661
2026-03-20 12:00:00,SHORT,89.11,89.64,sl,2,2.5e-05,-0.006989,0,0.7202
2026-03-20 13:00:00,SHORT,88.78,89.31,sl,1,1.3e-05,-0.006977,0,0.6024
2026-03-20 14:00:00,SHORT,88.88,89.41,sl,7,8.7e-05,-0.007052,0,0.661
2026-03-20 15:00:00,SHORT,88.9,89.43,sl,6,7.5e-05,-0.007039,0,0.7206
2026-03-20 16:00:00,SHORT,88.86,89.39,sl,5,6.3e-05,-0.007027,0,0.7145
2026-03-21 17:00:00,SHORT,89.52,90.05,sl,3,3.8e-05,-0.007002,0,0.595
2026-03-21 22:00:00,SHORT,89.86,88.96,tp,1,1.3e-05,0.009089,1,0.5814
2026-03-26 02:00:00,SHORT,90.91,90.01,tp,3,3.8e-05,0.009064,1,0.6553
2026-03-26 03:00:00,SHORT,91.02,90.11,tp,2,2.5e-05,0.009076,1,0.6059
2026-03-26 07:00:00,SHORT,89.06,88.16,tp,2,2.5e-05,0.009076,1,0.6177
2026-03-26 08:00:00,SHORT,88.84,87.95,tp,1,1.3e-05,0.009089,1,0.5988
2026-03-31 01:00:00,LONG,83.89,83.39,sl,2,2.5e-05,-0.007025,0,0.6315
2026-03-31 16:00:00,LONG,82.43,83.26,tp,1,1.3e-05,0.008988,1,0.5974
2026-04-08 12:00:00,LONG,84.58,84.07,sl,1,1.3e-05,-0.007013,0,0.6018
2026-04-08 13:00:00,LONG,84.09,83.59,sl,1,1.3e-05,-0.007012,0,0.5902
2026-04-21 17:00:00,SHORT,85.27,84.41,tp,2,2.5e-05,0.009076,1,0.6027
2026-04-29 04:00:00,SHORT,84.91,85.42,sl,5,6.3e-05,-0.007027,0,0.5994
2026-04-29 12:00:00,SHORT,84.2,83.36,tp,3,3.8e-05,0.009064,1,0.5989
2026-04-29 13:00:00,SHORT,83.96,83.12,tp,2,2.5e-05,0.009076,1,0.6459
2026-05-03 18:00:00,SHORT,84.22,84.72,sl,2,2.5e-05,-0.006989,0,0.5819
2026-05-04 00:00:00,SHORT,83.74,84.24,sl,1,1.3e-05,-0.006977,0,0.6259
2026-05-04 11:00:00,SHORT,83.91,84.41,sl,3,3.8e-05,-0.007002,0,0.5864
2026-05-04 13:00:00,SHORT,83.96,84.46,sl,1,1.3e-05,-0.006977,0,0.6031
2026-05-15 10:00:00,SHORT,91.42,90.51,tp,3,3.8e-05,0.009064,1,0.5936
2026-05-15 12:00:00,SHORT,90.61,89.71,tp,1,1.3e-05,0.009089,1,0.5947
2026-05-20 03:00:00,SHORT,84.06,84.56,sl,2,2.5e-05,-0.006989,0,0.6248
2026-05-20 06:00:00,LONG,85.03,84.52,sl,7,8.7e-05,-0.007088,0,0.6569
2026-05-20 08:00:00,LONG,85.02,84.51,sl,5,6.3e-05,-0.007063,0,0.6264
2026-05-20 12:00:00,LONG,85.14,84.63,sl,1,1.3e-05,-0.007013,0,0.5865
2026-05-20 14:00:00,LONG,85.9,86.76,tp,2,2.5e-05,0.008975,1,0.7049
2026-05-20 15:00:00,LONG,85.96,86.82,tp,1,1.3e-05,0.008988,1,0.6187
2026-05-31 08:00:00,SHORT,82.77,81.94,tp,6,7.5e-05,0.009026,1,0.5839
2026-05-31 10:00:00,SHORT,82.67,81.84,tp,4,5e-05,0.009051,1,0.5869
2026-06-01 01:00:00,SHORT,81.72,82.21,sl,1,1.3e-05,-0.006977,0,0.5835
2026-06-01 05:00:00,SHORT,81.78,80.96,tp,2,2.5e-05,0.009076,1,0.5919
2026-06-11 01:00:00,LONG,64.93,64.54,sl,1,1.3e-05,-0.007013,0,0.6067
2026-06-17 09:00:00,SHORT,72.5,71.78,tp,2,2.5e-05,0.009076,1,0.6124
2026-06-17 11:00:00,SHORT,72.0,72.44,sl,2,2.5e-05,-0.006989,0,0.5976
2026-06-17 12:00:00,SHORT,72.29,72.73,sl,1,1.3e-05,-0.006977,0,0.5886
2026-06-17 13:00:00,SHORT,72.39,72.83,sl,2,2.5e-05,-0.006989,0,0.5819
2026-06-23 02:00:00,SHORT,71.96,71.24,tp,3,3.8e-05,0.009064,1,0.6125
2026-06-23 03:00:00,SHORT,71.96,71.24,tp,2,2.5e-05,0.009076,1,0.6006
2026-06-24 08:00:00,SHORT,69.45,69.86,sl,3,3.8e-05,-0.007002,0,0.6086
2026-06-24 09:00:00,SHORT,69.28,69.69,sl,2,2.5e-05,-0.006989,0,0.5821
2026-07-07 11:00:00,SHORT,81.28,81.77,sl,1,1.3e-05,-0.006977,0,0.582
2026-07-07 13:00:00,SHORT,80.8,81.28,sl,1,1.3e-05,-0.006977,0,0.6191
2026-07-13 01:00:00,SHORT,76.28,75.52,tp,2,2.5e-05,0.009076,1,0.6023
