tf,side,H,cond,feat,n_tr,wr_tr,n_ho,wr_ho,base_ho,edge,wl,mean,mfe_med,mfe_p90
30m,LONG,20,vs_ma200 <= -7.102,vs_ma200,5476,53.725346968590216,529,68.62003780718337,46.62212481647765,21.997912990705714,58.03937862093461,0.96757054,2.423330068588257,5.891333103179932
30m,LONG,20,dd_from_high <= -8.007,dd_from_high,5483,53.529089914280505,327,71.25382262996942,46.62212481647765,24.63169781349177,57.78514016943282,1.4001282,3.058271884918213,7.192875862121582
15m,LONG,20,dd_from_high <= -5.661,dd_from_high,10968,49.83588621444201,944,64.83050847457628,43.810830647477424,21.019677827098853,56.8819377872715,0.45262438,1.6101174354553223,4.017005443572998
6h,LONG,20,adx <= 18.52,adx,913,64.62212486308871,417,67.62589928057554,51.7550602100948,15.870839070480741,55.62839153496747,1.6673849,3.520099401473999,9.2040433883667
15m,LONG,20,vs_ma200 <= -4.935,vs_ma200,10961,51.92044521485266,1333,61.89047261815453,43.810830647477424,18.07964197067711,55.17346455769143,0.42008677,1.5668691396713257,3.9995570182800293
2h,LONG,20,atr_pct >= 2.013,atr_pct,5485,52.57976298997266,380,67.36842105263158,50.37055967288525,16.997861379746325,54.77787683555102,1.3788878,3.8503899574279785,8.204876899719238
30m,LONG,10,vs_ma200 <= -7.102,vs_ma200,5476,53.1227173119065,529,65.40642722117202,43.9104814176612,21.49594580351082,54.73445543154466,0.55258447,1.8581253290176392,4.163200855255127
6h,LONG,20,adx <= 23.03,adx,1826,59.5290251916758,766,63.18537859007834,51.7550602100948,11.43031837998354,54.30984563058846,1.3885157,3.6816935539245605,9.34306526184082
15m,LONG,10,dd_from_high <= -5.661,dd_from_high,10968,50.054704595185996,944,62.07627118644068,40.48669977983642,21.589571406604257,54.07805944382701,0.33901504,1.1930283308029175,2.9937660694122314
1h,LONG,10,vs_ma50 <= -4.873,vs_ma50,2741,51.87887632251004,341,67.15542521994135,46.776732904982765,20.378692314958585,53.84277246355589,0.815994,2.1530416011810303,5.715818881988525
6h,LONG,20,bb_squeeze <= 0.4408,bb_squeeze,904,53.76106194690266,281,68.32740213523132,51.7550602100948,16.572341925136527,53.65809383329071,2.6534083,3.959230422973633,11.58936595916748
2h,LONG,20,vs_ma200 >= 12.86,vs_ma200,2724,54.62555066079295,335,66.56716417910448,50.37055967288525,16.19660450621923,53.122268858637426,1.2217321,2.491471529006958,6.598771572113037
30m,LONG,20,atr_pct >= 1.37,atr_pct,10970,51.21239744758432,518,63.899613899613904,46.62212481647765,17.277489083136253,53.08691549390608,1.0175289,2.1134033203125,5.953044891357422
6h,LONG,20,dd_from_high <= -13.79,dd_from_high,1819,53.43595382078065,236,68.64406779661016,51.7550602100948,16.889007586515362,52.616156491077874,1.3749887,5.746925354003906,10.529544830322266
15m,LONG,10,vs_ma200 <= -4.935,vs_ma200,10961,50.98074993157559,1333,59.33983495873969,40.48669977983642,18.853135178903266,52.59568607249845,0.22118376,1.1478122472763062,2.815213441848755
30m,LONG,20,vs_ma50 <= -3.475,vs_ma50,5483,48.896589458325735,759,61.528326745718054,46.62212481647765,14.906201929240403,52.590671444295424,0.5859757,1.9395169019699097,5.532828330993652
1h,LONG,20,vs_ma50 <= -4.873,vs_ma50,2741,53.37468077344035,341,65.6891495601173,48.1758971521008,17.5132524080165,52.35178244277473,1.5123345,3.0498547554016113,8.767680168151855
30m,LONG,20,dd_from_high <= -5.73,dd_from_high,10965,51.919744642042865,1375,58.61818181818181,46.62212481647765,11.996057001704159,51.97405150834765,0.4263439,1.7070444822311401,5.131648540496826
1h,LONG,20,dd_from_high <= -8.225,dd_from_high,5481,49.26108374384236,598,61.7056856187291,48.1758971521008,13.529788466628297,51.628315242654985,0.87195927,2.525777816772461,6.775761604309082
4h,LONG,20,vs_ma200 <= -8.08,vs_ma200,2706,52.40206947524021,638,60.81504702194357,50.64824292050495,10.166804101438622,51.05569307028096,0.66253674,3.5580592155456543,10.082152366638184
30m,LONG,20,vs_ma50 <= -2.203,vs_ma50,10966,50.10031004924311,2391,55.91802593057298,46.62212481647765,9.29590111409533,50.87638719356604,0.16272348,1.302791953086853,4.159374237060547
1h,LONG,20,vs_ma200 <= -3.562,vs_ma200,10933,51.028994786426416,3222,54.93482309124767,48.1758971521008,6.75892593914687,50.59137048548011,0.1549967,1.7363500595092773,4.835312366485596
30m,LONG,20,dd_from_high <= -3.707,dd_from_high,21930,51.25854993160055,4873,54.09398727683153,46.62212481647765,7.471862460353876,50.56213460591774,0.05954294,1.1938263177871704,3.5804781913757324
15m,LONG,20,dd_from_high <= -4.016,dd_from_high,21935,50.82744472304535,3517,54.70571509809496,43.810830647477424,10.894884450617539,50.548371419163495,0.11916232,1.0105005502700806,3.016791820526123
2h,LONG,10,vs_ma200 <= -5.493,vs_ma200,5448,50.55066079295154,1286,57.38724727838258,48.09771044344199,9.289536834940591,50.512053020185846,0.22002816,1.9393842220306396,5.372430324554443
15m,LONG,20,dd_from_high <= -2.578,dd_from_high,43870,50.10941417825393,10287,52.93088363954506,43.810830647477424,9.120052992067635,50.50001132924732,0.020984767,0.8341572284698486,2.4591691493988037
30m,SHORT,20,up_from_low >= 9.25,up_from_low,5483,45.44957140251687,326,64.11042944785275,43.43468732046726,20.67574212738549,50.455123313964634,0.51914144,2.001162528991699,4.1631317138671875
30m,LONG,20,vs_ma200 <= -4.788,vs_ma200,10951,48.306090767966396,2039,55.90975968612065,46.62212481647765,9.287634869643,50.44964130352175,0.108893864,1.4681106805801392,4.155400276184082
1h,LONG,20,vs_ma200 <= -6.736,vs_ma200,5467,51.87488567770258,906,58.27814569536424,48.1758971521008,10.102248543263435,50.08664481123465,0.30886826,2.422764778137207,5.88262939453125
15m,LONG,20,vs_ma200 <= -3.214,vs_ma200,21921,50.358104101090284,4524,53.69142351900973,43.810830647477424,9.880592871532308,50.02563946135922,0.025119273,1.0362977981567383,2.953874349594116
2h,LONG,10,atr_pct >= 2.013,atr_pct,5485,51.63172288058341,380,62.63157894736842,48.09771044344199,14.533868503926428,49.983155097165756,0.8373242,2.686110496520996,6.839180946350098
30m,LONG,10,vs_ma50 <= -3.475,vs_ma50,5483,49.24311508298377,759,58.89328063241107,43.9104814176612,14.982799214749868,49.94360965753986,0.26584008,1.4047574996948242,3.5108654499053955
30m,LONG,20,atr_pct >= 1.009,atr_pct,21939,49.97493048908337,2036,55.40275049115914,46.62212481647765,8.780625674681488,49.938394098128065,0.2502452,1.6088387966156006,4.563719272613525
1h,LONG,20,vs_ma20 <= -0.9223,vs_ma20,10969,52.24724222809737,3779,53.850224927229426,48.1758971521008,5.674327775128624,49.839364529824906,0.11541861,1.463720440864563,4.457850456237793
15m,LONG,20,vs_ma50 <= -1.486,vs_ma50,21936,51.78245805981035,5293,53.088985452484415,43.810830647477424,9.278154805006992,49.700001838118105,0.0010895375,0.913837194442749,2.5366575717926025
15m,LONG,20,vs_ma50 <= -3.751,vs_ma50,4388,53.46399270738378,375,62.4,43.810830647477424,18.589169352522575,49.66781282367165,0.34616727,1.8985481262207031,4.873525142669678
5m,LONG,20,dd_from_high <= -4.867,dd_from_high,13163,55.45848210894173,986,57.40365111561866,38.478882826542446,18.924768289076212,49.55179511334168,0.28825065,1.0854487419128418,3.223843574523926
1h,LONG,20,dd_from_high <= -5.394,dd_from_high,10961,50.597573214122804,2099,54.930919485469275,48.1758971521008,6.755022333368473,49.54940667990795,0.19586861,1.8831872940063477,5.119006633758545
1h,LONG,20,atr_pct >= 1.422,atr_pct,10970,51.76845943482225,873,57.846506300114555,48.1758971521008,9.670609148013753,49.5020206740357,0.5433958,2.660578966140747,6.633916854858398
30m,LONG,10,vs_ma50 <= -2.203,vs_ma50,10966,50.72040853547328,2395,54.48851774530271,43.9104814176612,10.578036327641506,49.45062105469535,0.02442945,0.9739753603935242,2.761634588241577
1h,LONG,10,dd_from_high <= -5.394,dd_from_high,10961,49.03749657877931,2099,54.74035254883278,46.776732904982765,7.963619643850016,49.35906338451825,0.050516527,1.2946157455444336,3.616623640060425
1h,LONG,10,vs_ma200 <= -3.562,vs_ma200,10933,48.59599378029818,3222,53.63128491620112,46.776732904982765,6.8545520112183524,49.28796894992973,0.041442472,1.1639240980148315,3.448378801345825
30m,LONG,10,dd_from_high <= -5.73,dd_from_high,10965,50.86183310533515,1375,55.92727272727272,43.9104814176612,12.01679130961152,49.27865010540839,0.20644183,1.269940972328186,3.4360082149505615
15m,LONG,20,vs_ma50 <= -2.397,vs_ma50,10968,51.43143690736689,1795,54.930362116991645,43.810830647477424,11.119531469514222,49.111642255821806,0.07158657,1.1801644563674927,2.955808401107788
1h,LONG,10,vs_ma200 <= -6.736,vs_ma200,5467,49.97256264861898,906,57.284768211920536,46.776732904982765,10.50803530693777,49.094598141349366,0.18295823,1.5850317478179932,4.287087440490723
30m,LONG,10,dd_from_high <= -3.707,dd_from_high,21930,50.601915184678525,4877,52.552798851753124,43.9104814176612,8.642317434091922,49.02284600364231,0.0075542205,0.8687770962715149,2.6386771202087402
1h,LONG,20,vs_ma50 <= -1.641,vs_ma50,10963,52.18462099790203,3602,53.08162132148806,48.1758971521008,4.9057241693872555,48.97424052308435,0.019337969,1.4650332927703857,4.468844413757324
1h,LONG,10,dd_from_high <= -8.225,dd_from_high,5481,48.622514139755516,598,59.030100334448164,46.776732904982765,12.2533674294654,48.94960700431251,0.37216288,1.7051794528961182,5.0710673332214355
1h,LONG,20,vs_ma20 <= -1.897,vs_ma20,5485,52.123974475843205,1254,55.90111642743222,48.1758971521008,7.725219275331419,48.93995283925087,0.34824866,1.8438152074813843,5.432860374450684
5m,LONG,20,vs_ma200 <= -2.82,vs_ma200,32901,50.04407160876569,4962,52.35792019347038,38.478882826542446,13.879037366927932,48.85857601307049,0.0153135145,0.8024680614471436,2.097501039505005
2h,LONG,10,dd_from_high <= -7.617,dd_from_high,5476,49.7991234477721,1045,56.45933014354066,48.09771044344199,8.361619700098672,48.83411695761054,0.2501685,1.8901842832565308,5.265558242797852
30m,LONG,5,vs_ma200 <= -7.102,vs_ma200,5476,51.68005843681519,529,59.54631379962193,40.50880626223092,19.037507537391008,48.82911507749864,0.32834405,1.3358442783355713,2.961698055267334
1h,LONG,5,macd_hist <= -0.2725,macd_hist,5487,50.11846181884454,1076,56.226765799256505,44.05683655236961,12.169929246886895,48.712646248023155,0.104709,0.921964168548584,2.6055400371551514
30m,LONG,20,range_pct >= 1.043,range_pct,21942,50.61070093883876,3188,52.94855708908407,46.62212481647765,6.326432272606418,48.58345188435676,0.108617835,1.3765925168991089,4.000966548919678
15m,LONG,5,dd_from_high <= -5.661,dd_from_high,10968,49.53501094091904,944,56.567796610169495,36.53351200731713,20.034284602852367,48.54624116452419,0.15417086,0.8258090019226074,2.29853892326355
