side,cond,feat,op,thr,n_tr,wr_tr,edge_tr,n_ho,wr_ho,edge_ho,wl_ho,mean_ho,H,base_ho
SHORT,vol_ratio <= 0.3881,vol_ratio,<=,0.388103734163131,3216,56.809701492537314,5.419747210680363,2226,62.713387241689134,5.705532256794875,58.22224331885547,3.0273529232272307,10,42.99214501510574
SHORT,vol_ratio <= 0.4664,vol_ratio,<=,0.4664394313875572,6431,54.610480485150056,3.2205262032931046,4445,61.057367829021366,4.049512844127108,57.875505430878285,2.5672313239163964,10,42.99214501510574
SHORT,vol_ratio <= 0.5269,vol_ratio,<=,0.5269226911288456,9647,54.30703845755157,2.917084175694619,6582,60.10331206320267,3.0954570783084137,57.48530057549877,2.2658692756652012,10,42.99214501510574
LONG,vs_ma20 <= -20.32,vs_ma20,<=,-20.32086453336411,3216,58.08457711442786,9.485270557402913,1250,62.8,18.57764350453172,56.78012538674321,2.457329992853483,5,44.222356495468276
LONG,vs_ma50 <= -32.96,vs_ma50,<=,-32.96423685707853,3147,54.68700349539244,6.087696938367493,630,65.07936507936508,20.8570085838968,56.59556339738337,2.7770504587452454,5,44.222356495468276
LONG,vs_ma50 <= -32.96,vs_ma50,<=,-32.96423685707853,3147,52.716873212583415,4.49957395818803,631,64.81774960380349,19.449773772987783,56.334858592148805,2.72871861448081,3,45.36797583081571
SHORT,rsi14 >= 34.11,rsi14,>=,34.11369630641923,51630,51.66182452062754,0.261131077652486,32207,57.22358493495203,1.445941430420305,56.035328244872495,0.5617440223116625,5,44.222356495468276
SHORT,rsi14 >= 31.12,rsi14,>=,31.12395191843275,54857,51.807426581840055,0.4067331388650004,34464,57.11176880222841,1.334125297696687,55.96287689030501,0.5799265511698182,5,44.222356495468276
SHORT,vs_ma20 >= -9.279,vs_ma20,>=,-9.278920220000897,51446,51.84076507405824,0.44007163108318537,32900,57.133738601823715,1.3560950972919912,55.95784141089513,0.5878753823391604,5,44.222356495468276
LONG,vs_ma20 <= -20.32,vs_ma20,<=,-20.32086453336411,3216,57.58706467661692,9.369765422221533,1251,61.950439648281375,16.582463817465666,55.91958756623702,2.4103156778122146,3,45.36797583081571
SHORT,vs_ma20 >= -11.7,vs_ma20,>=,-11.698531102450728,54661,52.03710140685315,0.6364079638780922,35555,57.04964140064689,1.2719978961151668,55.91839232713923,0.5968781358966646,5,44.222356495468276
LONG,vs_ma20 <= -14.92,vs_ma20,<=,-14.91748045141695,6431,55.49681231534753,6.897505758322588,3283,59.51873286628084,15.296376370812567,55.794810508841344,1.7037204710700051,5,44.222356495468276
SHORT,vs_ma20 >= -9.279,vs_ma20,>=,-9.278920220000897,51446,52.186758931695366,0.40405818609075084,32976,56.03772440562833,1.4057002364440407,54.860357255375526,0.49388743774758886,3,45.36797583081571
SHORT,rsi14 >= 34.11,rsi14,>=,34.11369630641923,51630,52.05888049583576,0.27617975023114383,32275,56.04647560030984,1.4144514311255492,54.85638188086555,0.4742608902902542,3,45.36797583081571
SHORT,vs_ma20 >= -11.7,vs_ma20,>=,-11.698531102450728,54661,52.34079142350122,0.5580906778966082,35639,55.86015320295182,1.2281290337675301,54.72733569640984,0.49385364373449686,3,45.36797583081571
SHORT,rsi14 >= 31.12,rsi14,>=,31.12395191843275,54857,52.23399019268279,0.45128944707817453,34538,55.84863049394869,1.216606324764399,54.69783412630622,0.4689270204990405,3,45.36797583081571
LONG,rsi14 <= 22.69,rsi14,<=,22.693853407102136,3227,56.863960334676165,8.264653777651219,2117,58.9041095890411,14.681753093572823,54.252150152954016,1.3373344607337059,5,44.222356495468276
LONG,vs_ma20 <= -20.32,vs_ma20,<=,-20.32086453336411,3216,60.416666666666664,11.806620948523616,1250,60.160000000000004,17.167854984894262,54.10451043824243,1.9494101838941504,10,42.99214501510574
LONG,bb_pos <= -0.08988,bb_pos,<=,-0.0898756122285612,1287,48.795648795648795,0.18560307750574623,785,61.401273885350314,18.409128870244572,53.75571825789295,2.734857660295918,10,42.99214501510574
LONG,vs_ma20 <= -14.92,vs_ma20,<=,-14.91748045141695,6431,54.23728813559322,6.019988881197833,3288,57.420924574209245,12.052948743393536,53.684776506837686,1.4185097757004241,3,45.36797583081571
LONG,vs_ma50 <= -24.65,vs_ma50,<=,-24.650967759804896,6293,51.10440171619259,2.8871024617972054,3161,57.291996203733,11.92402037291729,53.4804114461517,1.5380333776642086,3,45.36797583081571
LONG,rsi14 <= 17.64,rsi14,<=,17.644959422436365,1291,57.86212238574748,9.262815828722538,847,60.80283353010626,16.580477034637987,53.43904846568619,1.6493175410916716,5,44.222356495468276
LONG,vs_ma50 <= -24.65,vs_ma50,<=,-24.650967759804896,6293,51.88304465278881,3.2837380957638658,3157,57.17453278428888,12.952176288820603,53.35990230271348,1.5658188467031129,5,44.222356495468276
LONG,cc_ret <= -12.02,cc_ret,<=,-12.02047375746585,1303,56.945510360706066,8.728211106310681,403,63.52357320099256,18.15559737017685,52.839955754905496,3.0386807691350533,3,45.36797583081571
LONG,body_pct <= -12.04,body_pct,<=,-12.0357416064007,1304,56.97852760736196,8.761228352966576,403,63.27543424317618,17.90745841236047,52.5888954830394,2.973433507610503,3,45.36797583081571
LONG,rsi14 <= 22.69,rsi14,<=,22.693853407102136,3227,55.4694762937713,7.2521770393759155,2125,56.847058823529416,11.479082992713707,52.19146028289404,0.990903636759566,3,45.36797583081571
LONG,bb_pos <= 0.008548,bb_pos,<=,0.008548486972654302,3216,50.87064676616916,2.2606010480261105,2248,56.628113879003564,13.635968863897823,52.101322202618874,1.6485848611513725,10,42.99214501510574
LONG,vs_ma20 <= -11.7,vs_ma20,<=,-11.698531102450728,9647,52.088732248367364,3.871432993971979,5552,54.7550432276657,9.387067396849993,51.874048026148834,0.7646095639405776,3,45.36797583081571
LONG,rsi14 <= 27.48,rsi14,<=,27.48428615176915,6454,53.82708397892779,5.227777421902843,4328,55.06007393715342,10.837717441685143,51.79683940022352,0.8030363545725199,5,44.222356495468276
LONG,vs_ma50 <= -32.96,vs_ma50,<=,-32.96423685707853,3147,57.35621226564983,8.746166547506782,630,60.317460317460316,17.325315302354575,51.764198839061,1.582917389915795,10,42.99214501510574
LONG,vs_ma20 <= -11.7,vs_ma20,<=,-11.698531102450728,9647,53.05276251684462,4.453455959819678,5544,54.58152958152959,10.359173086061311,51.69809358020543,0.8164913441918552,5,44.222356495468276
LONG,vs_ma20 <= -14.92,vs_ma20,<=,-14.91748045141695,6431,56.38314414554502,7.773098427401969,3281,55.04419384334045,12.05204882823471,51.29512275689287,1.2813516113436538,10,42.99214501510574
LONG,rsi14 <= 27.48,rsi14,<=,27.48428615176915,6454,53.22280756120236,5.0055083068069735,4341,54.54964293941488,9.181667108599171,51.29027802576298,0.6510913678337111,3,45.36797583081571
LONG,bb_pos <= 0.008548,bb_pos,<=,0.008548486972654302,3216,54.788557213930346,6.727742878684417,2295,55.68627450980392,10.376304721284285,51.20341260221177,0.49006379196198613,1,45.30996978851964
LONG,bb_pos <= -0.08988,bb_pos,<=,-0.0898756122285612,1287,57.42035742035741,9.359543085111483,803,58.15691158156911,12.846941793049474,50.576620599762734,0.6277108872896184,1,45.30996978851964
LONG,streak <= -3,streak,<=,-3.0,6786,49.08635425876805,0.8690550043726617,5712,53.41386554621849,8.04588971540278,50.571695607879875,0.7444127069416299,3,45.36797583081571
LONG,streak <= -3,streak,<=,-3.0,6786,49.08635425876805,0.8690550043726617,5712,53.41386554621849,8.04588971540278,50.571695607879875,0.7444127069416299,3,45.36797583081571
LONG,rsi14 <= 31.12,rsi14,<=,31.12395191843275,9681,51.62689804772235,3.0275914906974037,6635,52.991710625470986,8.76935413000271,50.35452226288529,0.4960383647189673,5,44.222356495468276
LONG,rsi14 <= 17.64,rsi14,<=,17.644959422436365,1291,55.693261037955075,7.47596178355969,851,57.69682726204466,12.328851431228948,50.33309288886139,1.3337797412778292,3,45.36797583081571
LONG,rsi14 <= 31.12,rsi14,<=,31.12395191843275,9681,51.35833075095548,3.141031496560096,6653,52.938523974147,7.570548143331294,50.304888305521025,0.426944795421646,3,45.36797583081571
LONG,bb_pos <= 0.008548,bb_pos,<=,0.008548486972654302,3216,51.057213930348254,2.4579073733233088,2259,54.62594068171758,10.403584186249304,50.106200850536275,1.1434197388812137,5,44.222356495468276
