side,cond,feat,op,thr,n_tr,wr_tr,edge_tr,n_ho,wr_ho,edge_ho,wl_ho,mean_ho,H,base_ho
LONG,vs_ma20 <= -12.26,vs_ma20,<=,-12.262992059273786,7800,57.97435897435898,10.438916172810522,2602,72.59800153727902,26.745767721865896,68.69202593454456,4.615690635541873,10,45.85223381541312
LONG,vs_ma50 <= -19.37,vs_ma50,<=,-19.367930602644076,7772,56.75501801338137,9.219575211832911,2085,69.11270983213429,23.260476016721164,64.61356733165509,4.414267344117991,10,45.85223381541312
LONG,vs_ma50 <= -19.37,vs_ma50,<=,-19.367930602644076,7772,56.21461657231086,9.88094124142183,2085,68.87290167865707,23.54961279334909,64.36672651667983,2.6649304802591116,3,45.32328888530798
LONG,vs_ma20 <= -12.26,vs_ma20,<=,-12.262992059273786,7800,61.44871794871795,14.141245088910509,2602,67.71714066102997,22.306029997532413,63.66617252891038,3.2349969126935747,5,45.41111066349756
LONG,vs_ma50 <= -19.37,vs_ma50,<=,-19.367930602644076,7772,58.40195573854864,11.094482878741196,2085,67.38609112709833,21.974980463600765,62.839277385656686,3.6081069732204547,5,45.41111066349756
SHORT,range_pct <= 0.878,range_pct,<=,0.8779631255487369,19543,65.45054495215679,9.615819322041219,13773,64.32149858418646,6.908212518843833,62.549641639159404,0.2048799881998783,1,42.586713934657375
SHORT,range_pct <= 1.122,range_pct,<=,1.1219147344801823,39085,63.29282333375975,7.458097703644178,28249,62.66062515487274,5.247339089530115,61.41626867435198,0.22165086277511445,1,42.586713934657375
SHORT,range_pct <= 1.324,range_pct,<=,1.3239483827719105,58627,62.42857386528391,6.593848235168338,43976,61.60860469346916,4.195318628126536,60.6075344423824,0.22337813645712506,1,42.586713934657375
LONG,vs_ma20 <= -12.26,vs_ma20,<=,-12.262992059273786,7800,58.628205128205124,12.294529797316095,2602,64.68101460415066,19.35772571884268,60.56477065855829,2.0483850778975476,3,45.32328888530798
SHORT,bb_width <= 3.535,bb_width,<=,3.534527003778015,19499,65.25462844248423,9.419902812368662,9927,62.46600181323663,5.0527157478940055,60.35668807422147,0.2079319567565607,1,42.586713934657375
SHORT,range_pct <= 1.509,range_pct,<=,1.5087903437417978,78169,61.46682188591386,5.632096255798288,60052,60.985479251315525,3.5721931859728997,60.127033308985546,0.2269746728224575,1,42.586713934657375
LONG,dd_from_high <= -28.78,dd_from_high,<=,-28.77875739367639,19407,54.062966970680684,6.527524169132228,5488,62.755102040816325,16.902868225403203,59.912880005933445,2.116080081915732,10,45.85223381541312
SHORT,bb_width <= 4.642,bb_width,<=,4.641911891908614,38997,63.233069210452086,7.398343580336515,23514,61.0274729948116,3.6141869294689783,59.65292098633025,0.20453737754346343,1,42.586713934657375
