symbol,신규,total,bh,mdd,funding_cost,trades,초과
ADAUSDT,False,780.4990230744671,-30.667765869744258,-78.5672221256557,0.0,148,811.1667889442114
AVAXUSDT,True,1719.3034048566246,20.053390483710555,-78.43431238334213,0.0,118,1699.2500143729142
BNBUSDT,False,58148.1091307641,37265.37237428385,-71.06774566967849,0.0,173,20882.736756480255
BTCUSDT,False,2847.3830627432894,1367.6010716252576,-70.2149779399329,0.0,171,1479.7819911180318
DOGEUSDT,True,6257.348978639935,1698.9199245497466,-79.46657366544908,0.0,112,4558.429054090188
EOSUSDT,True,-85.53453294125704,-93.20573579119763,-91.35238667730796,0.0,142,7.671202849940585
ETCUSDT,True,36.13127944520629,-54.81330580659287,-92.75097889658866,0.0,164,90.94458525179917
ETHUSDT,False,4047.654859928842,516.7549668874129,-63.42165745467323,0.0,151,3530.899893041429
FTMUSDT,True,16331.527601059133,2058.6419753086393,-70.00743248170085,0.0,90,14272.885625750494
GRTUSDT,True,41.265960372234865,-88.3421588594705,-82.48744039581307,0.0,92,129.60811923170536
ICPUSDT,True,-91.88919853580086,-99.43078486854758,-95.89760510097555,0.0,92,7.541586332746718
INJUSDT,True,2576.7926491660633,523.9907727797034,-79.64808438159388,0.0,102,2052.8018763863597
LTCUSDT,True,19.889011068646735,-84.72121650977547,-86.59747260634654,0.0,167,104.61022757842221
RUNEUSDT,True,1803.1006416444395,-47.32983013564698,-72.87539521103442,0.0,91,1850.4304717800865
SANDUSDT,True,3045.2142007940283,-35.14856735912264,-82.10797412058363,0.0,100,3080.362768153151
SOLUSDT,False,3830.0262477447086,2109.18599363347,-84.33031597024167,0.0,116,1720.8402541112387
SUIUSDT,True,182.7817321625836,-51.334189497716956,-61.77082752616232,0.0,60,234.11592166030056
TRXUSDT,True,1168.0421490248252,573.760330578512,-58.16546446436575,0.0,165,594.2818184463132
UNIUSDT,True,767.5436765558859,25.63191495508008,-71.32061561489913,0.0,105,741.9117616008058
VETUSDT,True,4696.725848340275,-77.52245862884169,-76.06584554809677,0.0,124,4774.248306969116
XLMUSDT,True,-2.4718628760293626,-41.76136363636373,-75.13169996016116,0.0,144,39.28950076033437
XRPUSDT,False,126.89846422634443,19.32801438363918,-73.34437827476778,0.0,162,107.57044984270524
