기법,전체수익%,CAGR%,MDD%,승률%,거래수,강세장%,약세장%
일목 구름돌파,2681.0026129272014,44.92844275273629,-74.40077290931238,37.94037940379404,369,612.8204779339753,69.96330370390424
MACD 크로스,2073.2532769594186,40.99499342237001,-70.39281972627975,42.80125195618154,1278,1181.6553043578012,9.181293582791739
"터틀 돌파(20,10)",1291.790050933871,34.15522284739274,-59.49668132965786,44.51345755693582,483,638.4150283473886,17.598867216462754
"골든/데드크로스(50,200)",-12.966915006038082,-1.5377897324014733,-89.32410199917251,33.035714285714285,112,-35.86881523340592,36.3271341387565
볼린저 스퀴즈돌파,-75.07044187938628,-14.35906728505344,-92.51916363840068,32.0,175,-71.53554122239615,-12.167699731326376
RSI 다이버전스,-99.70155018116702,-47.7327925173532,-99.78800941728856,56.4748201438849,278,-98.48065953108687,-59.515901663368844
볼린저 평균회귀,-99.71924975658523,-48.08814599178979,-99.84542475843324,57.52066115702479,605,-98.67191735570748,-61.92320777590632
그리드(±10%),-99.91635121815173,-54.64893241447704,-99.95283080630551,52.94117647058824,357,-99.31858649865468,-65.9245080982388
유동성스윕(ICT),-99.92373436815333,-55.114149521537115,-99.9446666622341,53.79464285714286,448,-99.08129301080287,-76.52350385538878
RSI 과매도반등(30/70),-99.95914173049182,-58.13375470675987,-99.97876017869734,52.52525252525253,396,-99.30430429364156,-88.92061861343905
