interval,strategy,평균수익%,중앙값%,양수심볼,총심볼,양수구간,생존
4h,돌파(3d/1d),-27.55595516095326,-23.54487449300026,2,6,1,False
4h,돌파(3d/2d),-29.05806336352454,-39.29101404190409,2,6,1,False
4h,돌파(5d/1d),223.29453499774772,161.01662658417987,6,6,2,True
4h,돌파(5d/2d),155.5214747399094,96.9395220623337,6,6,1,False
4h,돌파(5d/3d),26.8736935678387,-1.1751037350573874,3,6,1,False
4h,돌파(9d/1d),295.2236282972547,211.98870437800153,5,6,1,False
4h,돌파(9d/2d),276.82729060282344,205.666916642241,4,6,2,True
4h,돌파(9d/3d),79.19799530385819,71.95400294844035,4,6,1,False
4h,돌파(9d/5d),179.1502169759656,26.68965778532111,4,6,1,False
4h,돌파(15d/1d),352.939128453296,312.4085195183642,6,6,3,True
4h,돌파(15d/2d),433.15484230976955,396.5156642574706,6,6,2,True
4h,돌파(15d/3d),262.6796361984266,183.397389158104,5,6,1,False
4h,돌파(15d/5d),218.7894999178003,94.5933239874227,5,6,2,True
4h,돌파(25d/1d),596.2161211850505,596.4661742749281,6,6,2,True
4h,돌파(25d/2d),504.9289032402091,328.73446351412167,6,6,2,True
4h,돌파(25d/3d),340.719701428476,342.72774710851763,6,6,2,True
4h,돌파(25d/5d),339.7518408460948,197.15329021992838,5,6,2,True
4h,MA(1d/10d),310.4826779796933,-26.498443874267466,3,6,1,False
4h,MA(1d/20d),223.2053582616311,256.8268820189768,5,6,2,True
4h,MA(1d/33d),4013.538511438348,1421.0351728198566,5,6,2,True
4h,MA(1d/50d),2909.625548073632,1482.6122224519397,5,6,3,True
4h,MA(2d/10d),231.18373184247494,9.347870583061436,4,6,2,True
4h,MA(2d/20d),778.2426489543492,736.954011710133,5,6,2,True
4h,MA(2d/33d),3040.2858269773806,2253.423828413056,5,6,2,True
4h,MA(2d/50d),1786.0670208597337,1139.0567175591427,5,6,2,True
4h,MA(3d/10d),14.760549175153168,-28.4600833636501,2,6,1,False
4h,MA(3d/20d),2322.0897478728843,349.61704497496646,5,6,2,True
4h,MA(3d/33d),3648.2942938275737,953.4780777504982,5,6,1,False
4h,MA(3d/50d),1356.1376248619242,1114.110995370764,5,6,1,False
4h,MA(5d/10d),-77.43485674231408,-80.52050932908921,0,6,0,False
4h,MA(5d/20d),1144.2175650888796,110.50049960065869,5,6,1,False
4h,MA(5d/33d),1480.85455880042,338.1680105516791,5,6,1,False
4h,MA(5d/50d),1655.0253252272569,1034.9993981561777,5,6,2,True
4h,MA(8d/10d),-72.40872361889625,-86.99632645346188,0,6,1,False
4h,MA(8d/20d),2158.085365719215,27.26948579271285,3,6,1,False
4h,MA(8d/33d),3365.689979409132,2039.7522128805217,5,6,2,True
4h,MA(8d/50d),2181.566338590074,1604.7884067788473,5,6,3,True
4h,MA롱온리(2d/20d),8257.954972579799,2837.1312563865586,6,6,3,True
4h,MA롱온리(3d/33d),13082.425230011155,5664.456001612499,6,6,3,True
4h,MA롱온리(5d/50d),7545.511331321813,4393.180616146036,5,6,3,True
4h,"Supertrend(2d,2.0)",106.18373150647824,11.11099907350841,4,6,2,True
4h,"Supertrend(2d,3.0)",85.86770024273456,-0.4213433808662632,3,6,2,False
4h,"Supertrend(2d,4.0)",377.9084282690265,47.234858787474515,3,6,1,False
4h,"Supertrend(4d,2.0)",-64.44911468133434,-77.68672987128195,0,6,1,False
4h,"Supertrend(4d,3.0)",-14.777626730485828,-15.638576439043383,2,6,1,False
4h,"Supertrend(4d,4.0)",338.60869535284513,94.53707464472308,4,6,2,True
4h,"Supertrend(7d,2.0)",-92.3477167334031,-92.82988707917389,0,6,0,False
4h,"Supertrend(7d,3.0)",-67.72285310400646,-63.742307050565586,0,6,0,False
4h,"Supertrend(7d,4.0)",114.97760625619749,74.29994936109645,4,6,2,True
4h,"ATR돌파(3d,0.5)",73.73555342720769,2.3417678869334155,3,6,1,False
4h,"ATR돌파(3d,1.0)",1181.1156815485256,650.6020428131735,4,6,1,False
4h,"ATR돌파(7d,0.5)",1059.5826766292353,191.50958884832238,4,6,1,False
4h,"ATR돌파(7d,1.0)",2783.571504781254,1293.1868163255976,5,6,2,True
4h,"ATR돌파(14d,0.5)",2044.8982534249424,564.1080121953091,4,6,2,True
4h,"ATR돌파(14d,1.0)",6581.891277635386,392.2221454830741,5,6,2,True
