interval,strategy,평균수익%,중앙값%,양수심볼,총심볼,양수구간,생존
1h,돌파(3d/1d),-83.55597502762596,-83.02972240404974,0,6,1,False
1h,돌파(3d/2d),53.614463314385375,-20.65527838702724,3,6,1,False
1h,돌파(5d/1d),-43.83117043908612,-57.68397851321486,1,6,1,False
1h,돌파(5d/2d),140.80475233949485,6.59654441064062,3,6,1,False
1h,돌파(5d/3d),74.00858918591862,56.2483131337232,4,6,2,True
1h,돌파(9d/1d),17.469704063178813,12.842463526625835,4,6,1,False
1h,돌파(9d/2d),132.74815664545633,77.32948977104499,4,6,2,True
1h,돌파(9d/3d),90.83983535580639,87.36600970579474,5,6,2,True
1h,돌파(9d/5d),27.222054254849084,20.15098251361622,4,6,2,True
1h,돌파(15d/1d),118.36600689125116,77.36606145828317,5,6,2,True
1h,돌파(15d/2d),276.8045425239674,328.7835727486902,5,6,2,True
1h,돌파(15d/3d),311.2647237103111,249.72822018477572,6,6,1,False
1h,돌파(15d/5d),131.0092977846794,44.09521294359632,3,6,1,False
1h,돌파(25d/1d),245.60357130755736,207.00107942187657,6,6,2,True
1h,돌파(25d/2d),340.61886836889613,276.14084048148686,6,6,3,True
1h,돌파(25d/3d),359.1404193179808,322.5291800940572,6,6,2,True
1h,돌파(25d/5d),303.85580138656286,123.18874758196912,4,6,2,True
1h,MA(1d/10d),104.78031065817368,-52.837552822156866,2,6,1,False
1h,MA(1d/20d),151.7264083833252,117.52551135033983,4,6,1,False
1h,MA(1d/33d),3854.725431168958,494.09051793070563,5,6,1,False
1h,MA(1d/50d),1551.6448830231257,1606.4836398375146,4,6,3,True
1h,MA(2d/10d),107.32132201204745,51.74717196529578,4,6,1,False
1h,MA(2d/20d),417.6097862683085,443.5953351314314,5,6,2,True
1h,MA(2d/33d),2333.294090230363,1801.541296133686,5,6,2,True
1h,MA(2d/50d),1657.2838728346107,1494.3712919261775,4,6,2,True
1h,MA(3d/10d),31.533322127927885,-31.919448800638445,2,6,1,False
1h,MA(3d/20d),1480.6935745884284,305.08118916079223,5,6,2,True
1h,MA(3d/33d),2195.922644345104,832.9153538705101,5,6,2,True
1h,MA(3d/50d),1578.3475539446708,833.7873896385756,4,6,2,True
1h,MA(5d/10d),-77.26294290486494,-80.4619753711497,0,6,1,False
1h,MA(5d/20d),973.4737724723818,11.849048332976864,4,6,1,False
1h,MA(5d/33d),1687.140661952828,209.74194442233403,5,6,2,True
1h,MA(5d/50d),1121.9017617557267,840.0483827131325,5,6,2,True
1h,MA(8d/10d),-88.98017405403318,-93.06824704006617,0,6,0,False
1h,MA(8d/20d),2207.7678873723585,-5.982802928719488,2,6,1,False
1h,MA(8d/33d),1789.8567720490162,1350.582933187573,5,6,2,True
1h,MA(8d/50d),1896.4200064657553,1154.7305950360555,5,6,3,True
1h,MA롱온리(2d/20d),7059.224606228709,3543.2422626611924,6,6,3,True
1h,MA롱온리(3d/33d),12448.61379075885,6352.7564826050275,6,6,3,True
1h,MA롱온리(5d/50d),6636.583187089843,4456.765144569184,5,6,3,True
1h,"Supertrend(2d,2.0)",-99.98783093801389,-99.99332233491738,0,6,0,False
1h,"Supertrend(2d,3.0)",-98.38686017142534,-99.84008209574976,0,6,0,False
1h,"Supertrend(2d,4.0)",-97.81619645074007,-98.67399872290571,0,6,0,False
1h,"Supertrend(4d,2.0)",-99.9968913936924,-99.9992702893972,0,6,0,False
1h,"Supertrend(4d,3.0)",-99.85154649986798,-99.91927133945651,0,6,0,False
1h,"Supertrend(4d,4.0)",-99.2366680632204,-99.78335473302022,0,6,0,False
1h,"Supertrend(7d,2.0)",-99.9905805496647,-99.9973426803046,0,6,0,False
1h,"Supertrend(7d,3.0)",-99.8682869991402,-99.93513987541606,0,6,0,False
1h,"Supertrend(7d,4.0)",-99.27179044642315,-99.47098171671624,0,6,0,False
1h,"ATR돌파(3d,0.5)",-10.773258654634693,-71.98339096309343,1,6,1,False
1h,"ATR돌파(3d,1.0)",546.6752890847025,-24.74109851233571,3,6,1,False
1h,"ATR돌파(7d,0.5)",119.09219174848334,17.42709285577601,3,6,1,False
1h,"ATR돌파(7d,1.0)",1174.6312387709565,50.528506510140616,5,6,1,False
1h,"ATR돌파(14d,0.5)",540.8525642468115,-14.388415673383914,2,6,1,False
1h,"ATR돌파(14d,1.0)",5934.784169993309,81.35186397186351,4,6,1,False
