direction,rule,win_rate,count,lift,baseline_wr,symbol,interval
SHORT,upper_shadow ≤ 0.23274 AND hl_vol > 0.0033 AND vol_24 > 0.00465 AND stoch_k_9 > 0.54627,100.0,107,1.35,74.3,XRPUSDT,5m
LONG,vol_288 > 0.00202 AND lower_shadow ≤ 0.41801 AND hma_21_vs_c ≤ -0.0015 AND cmf_14 ≤ -0.19843 AND vs_s3 > -0.34739,100.0,114,1.16,86.5,XRPUSDT,5m
LONG,atr > 0.02262 AND ret_6 ≤ -0.02564 AND vol_24 ≤ 0.01571,100.0,43,1.53,65.5,ETHUSDT,1h
LONG,atr > 0.02262 AND ret_6 ≤ -0.02564 AND vol_24 > 0.01571 AND ret_288 ≤ -0.35001,100.0,26,1.53,65.5,ETHUSDT,1h
SHORT,vol_48 > 0.01701 AND vol_ratio_48 > 0.49581 AND vol_24 ≤ 0.02635 AND lower_shadow ≤ 0.42721,100.0,74,1.45,69.0,ETHUSDT,1h
SHORT,ha_body_ratio > 0.2771 AND ha_streak > 3.5,100.0,58,1.12,89.0,BNBUSDT,5m
SHORT,atr ≤ 0.02764 AND hour_cos ≤ 0.0 AND dxy_ret20d > -0.00853 AND dxy_vs_ma ≤ -0.00095 AND adx_slope > -0.02863,100.0,86,1.28,78.1,ETHUSDT,4h
SHORT,atr > 0.0241 AND inside_bar > 0.5 AND vol_12 > 0.01364 AND ret_1 > 0.00356 AND vol_ratio_12 > 0.61287,100.0,34,1.28,78.3,XRPUSDT,4h
SHORT,atr ≤ 0.0241 AND fractal_high > 0.5 AND stoch_k_9 ≤ 0.77025 AND cci_14 ≤ 0.15328 AND vs_pivot > 0.34436,100.0,44,1.28,78.3,XRPUSDT,4h
LONG,atr > 0.00605 AND ret_2 ≤ -0.00186 AND ret_288 ≤ -0.02874 AND lr_dev_10 > -1.26739 AND lr_dev_10 ≤ -0.05749,100.0,113,1.23,81.5,ETHUSDT,5m
SHORT,htf_4h_vs_sma96 ≤ -0.08082 AND rsi_24_slope ≤ 7.81161 AND ret_3 > -0.0024,100.0,40,1.55,64.6,BTCUSDT,1h
SHORT,vol_ratio_12 > 0.63386 AND vol_ratio_48 > 1.67297 AND bb_width_48 > 0.05996 AND force_idx ≤ 1193.763 AND fractal_high > 0.5,100.0,72,1.34,74.4,BTCUSDT,4h
SHORT,hl_vol > 0.01886 AND vs_sma48 > -0.04867 AND vol_ratio_12 ≤ 0.90262 AND gold_ret5d ≤ 0.00355 AND ret_24 > 0.11643,100.0,36,1.33,75.2,BNBUSDT,4h
LONG,vs_sma24 ≤ -0.04798 AND vs_sma12 > -0.04667 AND htf_4h_adx > 0.3874 AND ret_3 > -0.01552,100.0,29,1.46,68.5,XRPUSDT,1h
LONG,atr > 0.00605 AND ret_2 ≤ -0.00186 AND ret_288 > -0.02874 AND htf_1h_bb_pos_20 > -0.01707 AND ichi_tk ≤ 0.0047,100.0,44,1.23,81.5,ETHUSDT,5m
LONG,atr7 > 0.02809 AND lower_shadow ≤ 0.48454 AND fractal_low > 0.5,99.1,113,1.28,77.6,XRPUSDT,4h
LONG,atr7 ≤ 0.02397 AND vol_ratio_12 > 1.18007 AND bb_width_48 > 0.08659 AND gap ≤ 0.0 AND atr_ratio > 1.07947,98.8,81,1.26,78.2,ETHUSDT,4h
SHORT,vol_48 > 0.01095 AND htf_4h_rsi_14 ≤ 0.34293 AND htf_4h_atr > 0.05397,98.7,77,1.43,69.1,ADAUSDT,1h
LONG,vol_12 > 0.00253 AND hl_vol ≤ 0.00795 AND vol_6 ≤ 0.00546 AND kurt_24 > 0.12204 AND vs_s2 ≤ 0.48489,98.6,69,1.19,82.5,BNBUSDT,5m
LONG,vol_12 > 0.00253 AND hl_vol > 0.00795,98.6,69,1.19,82.5,BNBUSDT,5m
LONG,vol_48 > 0.00645 AND vol_ratio_12 > 1.54889 AND vol_slope ≤ 4.27362 AND adx_slope > -0.01176 AND atr_ratio > 1.03571,98.4,128,1.28,76.7,BNBUSDT,4h
SHORT,upper_shadow > 0.23274 AND vol_96 > 0.00698 AND hma_9_vs_c > 0.00149,98.4,63,1.32,74.3,XRPUSDT,5m
SHORT,htf_4h_atr > 0.03371 AND hour_cos ≤ -0.78657 AND rsi_6_slope > 4.81589,98.1,54,1.51,64.8,BNBUSDT,1h
SHORT,ret_1 > 0.00421 AND htf_4h_adx > 0.18565 AND vs_low_20 ≤ 0.01427 AND htf_4h_cmf_14 ≤ -0.02678 AND ret_accel_5 ≤ 0.01113,98.0,49,1.42,69.0,ADAUSDT,5m
SHORT,ret_1 ≤ 0.01203 AND bb_width_48 > 0.21479 AND obv_slope ≤ 0.09815 AND hour_cos ≤ -0.37941,98.0,50,1.41,69.3,XRPUSDT,1h
LONG,atr7 ≤ 0.01837 AND fractal_low > 0.5 AND cci_20 > -0.61321 AND vol_96 > 0.01214,97.9,48,1.22,80.5,ADAUSDT,4h
SHORT,atr > 0.02764 AND body_ratio > 0.06466 AND inside_bar ≤ 0.5 AND stoch_kd_9 ≤ 0.13336,97.8,223,1.25,78.1,ETHUSDT,4h
SHORT,ret_1 ≤ 0.00421 AND lr_slope_20 > 0.00344,97.7,44,1.42,69.0,ADAUSDT,5m
LONG,atr ≤ 0.00605 AND lower_shadow ≤ 0.13479 AND ret_accel_5 > -0.00696,97.6,41,1.2,81.5,ETHUSDT,5m
SHORT,ret_1 > 0.01203 AND htf_4h_cmf_14 ≤ 0.16413 AND vix_ret5d > -0.03544 AND htf_4h_ema50_vs_200 ≤ -0.12887,97.6,41,1.41,69.3,XRPUSDT,1h
LONG,vol_48 > 0.00778 AND ret_1 ≤ -0.01114 AND vs_sma12 ≤ -0.02224 AND stoch_d_24 > 0.07574 AND htf_4h_rsi_14 > 0.16507,97.5,79,1.44,67.7,BNBUSDT,1h
LONG,atr7 > 0.02397 AND atr28 ≤ 0.03262 AND session_europe > 0.5 AND vol_24 ≤ 0.02029,97.4,117,1.25,78.2,ETHUSDT,4h
SHORT,hl_vol > 0.01886 AND vs_sma48 ≤ -0.04867 AND vs_pivot ≤ 0.25731,97.4,117,1.3,75.2,BNBUSDT,4h
LONG,atr ≤ 0.02158 AND htf_4h_rsi_14 > 0.15781 AND vs_sma24 ≤ -0.04925 AND vs_sma24 > -0.05679,97.2,36,1.4,69.7,ADAUSDT,1h
SHORT,atr7 ≤ 0.03319 AND inside_bar ≤ 0.5 AND fractal_high > 0.5 AND vol_48 > 0.01255 AND vix_ret5d > -0.03541,97.2,211,1.18,82.5,SOLUSDT,4h
LONG,vol_48 > 0.00645 AND vol_ratio_12 ≤ 1.54889 AND vol_24 ≤ 0.02012 AND stoch_kd_24 ≤ -0.10265 AND skew_24 ≤ 0.3557,97.2,71,1.27,76.7,BNBUSDT,4h
LONG,atr7 > 0.02809 AND lower_shadow > 0.48454 AND vs_sma576 ≤ 0.11439 AND ret_3 ≤ -0.01652,97.1,35,1.25,77.6,XRPUSDT,4h
SHORT,atr > 0.02669 AND vol_ratio_12 > 0.4663 AND atr7 > 0.0324 AND ret_6 ≤ 0.08231 AND ret_3 > -0.06978,97.1,279,1.19,81.5,ADAUSDT,4h
