name,sig,wr,avg,full,tr,ho,mdd,liq
기준선 · 이평 -12.26% 롱,1923,59.334373374935,2.3799991252761243,2.205403395106597,0.7664644322263208,2.9309664861253033,71.38680361183793,12
RSI(14) ≤ 30 롱,5083,50.08853039543577,-0.00886335606748705,0.009529644093432776,0.038383702091218524,0.24295267306679588,71.1402151802009,13
RSI(14) ≤ 25 롱,2641,50.96554335478986,0.5568368640272607,0.552289643286623,0.2926237947606203,1.9187899153728714,50.89220655726032,0
RSI(14) ≤ 20 롱,1082,54.89833641404805,0.6348813466011543,0.5047748743637278,0.30361544796330864,1.5230785481053069,40.10391648840649,0
RSI(7)  ≤ 20 롱,5884,51.104690686607746,0.329430020919589,0.03772991605473486,0.15878151368819027,0.2302601831773755,41.004835303379195,11
RSI(21) ≤ 30 롱,2339,50.448909790508765,0.16596415608039805,0.2636338423638455,0.1965410051851361,1.3217113683125092,50.47290479193934,0
상승 다이버전스 롱,3443,46.064478652338074,-0.18286910209574728,0.1896833335608384,0.30973142333006903,0.5879919991386849,68.4132823148739,15
상승 다이버전스 롱 (k=3),4858,45.03911074516262,-0.4708355586314903,0.11528357275893969,0.2831288770559784,0.4055157843734153,62.22369071653445,8
이평 +12.26% 숏,2498,49.399519615692554,-2.950372484905102,0.013277461777226976,0.039775512120687154,0.3401754599043888,33.5428574128149,31
이평 +15% 숏,1614,49.380421313506815,-3.473020301501171,0.01852389991137587,0.036184540049483564,0.5632415427044749,30.715901841832107,30
RSI(14) ≥ 70 숏,5084,47.26593233674272,-2.140804772116217,0.002215812148805347,0.011897643861975192,0.18671124083837207,40.02795077802781,30
RSI(14) ≥ 75 숏,2759,45.23378035520116,-2.9397380688666535,0.0034860217041847914,0.017599763488086357,0.1884854034776615,31.413721646966366,27
RSI(14) ≥ 80 숏,1268,42.66561514195584,-4.53053378205168,0.015393258668093782,0.05453854795013954,0.28755088142813146,32.900426988207634,23
하락 다이버전스 숏,3458,49.88432620011567,-0.9011656300670023,0.05985642713688007,0.13018194754814663,0.4624724744694723,31.04047895659441,13
하락 다이버전스 숏 (k=3),4854,48.99052327976926,-1.1331303861719557,0.02169095198828155,0.03664741099507425,0.600614851684245,29.367044272685426,13
