tf,strategy,total,cagr,mdd,sharpe,trades,wr,cost_pct
4h,MA교차(8일/33일),4.132294154644001,1.136344195441552,-52.76256350912381,0.25139341232836,47,34.04255319148936,9.3
4h,MA교차(2일/8일),16.068551008966736,4.245838607857366,-51.37349025969671,0.31981646756952825,212,37.735849056603776,42.3
4h,돌파(9일/3일),56.97248619588231,13.408327897884709,-49.56315520243676,0.526952933469894,103,50.48543689320388,20.5
4h,돌파(3일/1일),-13.017279019834982,-3.8169255023655535,-56.79924821828264,0.08382817833656594,261,45.21072796934866,52.1
4h,RSI반전(1일),-93.19228721024552,-52.755998772277636,-93.79068058965196,-1.4044452617232082,638,55.4858934169279,127.50000000000001
4h,볼린저회귀(3일),-72.82232687891769,-30.479032160965758,-79.17595514095052,-0.8541657254229592,308,61.36363636363637,61.5
1h,MA교차(8일/33일),1.701757029420703,0.472008774144439,-53.25281608997676,0.23960574094830012,47,29.78723404255319,9.3
1h,MA교차(2일/8일),-4.342529466243816,-1.2312864284670932,-59.458189291528065,0.20562010117883395,226,34.51327433628318,45.1
1h,돌파(9일/3일),24.75230738665488,6.366140943780496,-58.36037960250358,0.35209882950126853,119,41.17647058823529,23.700000000000003
1h,돌파(3일/1일),-15.468555397814733,-4.5812637757734365,-54.06712372344946,0.06601196620406226,308,45.77922077922078,61.5
1h,RSI반전(1일),-92.51341553728271,-51.487167797218504,-93.56686369675444,-1.3230540797327257,264,54.166666666666664,52.7
1h,볼린저회귀(3일),-81.32339692726688,-37.38941673421301,-85.23228180424549,-1.0550628784890022,409,65.03667481662592,81.7
30m,MA교차(8일/33일),10.419531683337159,2.8045714101558206,-51.47689994084561,0.2913016280561927,47,29.78723404255319,9.3
30m,MA교차(2일/8일),-3.128224282337788,-0.8829893201718453,-59.30615514942674,0.2153203561489874,218,33.02752293577982,43.5
30m,돌파(9일/3일),35.47599953376255,8.842279063287716,-56.3952250024015,0.41263128580171954,124,39.516129032258064,24.7
30m,돌파(3일/1일),-10.270839467940196,-2.9790304208889395,-56.70424150766805,0.11103690716559055,335,44.17910447761194,66.9
30m,RSI반전(1일),-89.68584239197381,-46.94968579207526,-93.5275192250213,-1.1187542222454057,88,55.68181818181818,17.5
30m,볼린저회귀(3일),-83.96305804862462,-39.99595551054023,-87.14626074606846,-1.1287859052760434,445,65.61797752808988,88.9
10m,MA교차(8일/33일),9.920588839282175,2.6747552795871377,-51.90274651225146,0.2905392205963086,47,27.659574468085108,9.3
10m,MA교차(2일/8일),-8.370393951256617,-2.409943385607771,-59.70461139279959,0.18508839964389676,226,33.6283185840708,45.1
10m,돌파(9일/3일),-2.3768087767396695,-0.6690428963320727,-54.8132580870637,0.17558938652645995,136,35.294117647058826,27.1
10m,돌파(3일/1일),-43.7413549153614,-14.829958698302814,-67.68213432727266,-0.222397546079995,382,40.575916230366495,76.3
10m,RSI반전(1일),-84.86110488884202,-40.95353084276135,-92.47380649197461,-0.8810895206202282,6,66.66666666666666,1.0999999999999999
10m,볼린저회귀(3일),-84.03601566335949,-40.07258442062953,-86.56044245367228,-1.0983867736644881,497,66.80080482897385,99.3
5m,MA교차(8일/33일),9.859005538923249,2.658699223246064,-51.73760763825135,0.29152694582777844,47,29.78723404255319,9.3
5m,MA교차(2일/8일),-5.971096889408023,-1.7034636018652405,-60.11127949607824,0.2027921236360223,222,31.98198198198198,44.3
5m,돌파(9일/3일),3.8641094152640942,1.0636376690647653,-53.76363710388967,0.22313641886811816,137,34.306569343065696,27.3
5m,돌파(3일/1일),-49.96167115038445,-17.569813271146874,-68.58352313136403,-0.30233084641556834,398,38.19095477386934,79.5
5m,RSI반전(1일),141.63495682298182,27.91634304636137,-53.83758012582819,0.7814564141635568,1,100.0,0.1
5m,볼린저회귀(3일),-86.65387074728774,-42.9942979938788,-88.28875691931208,-1.2062465238100133,524,66.41221374045801,104.69999999999999
1m,MA교차(8일/33일),10.481783840003223,2.8207725868922173,-52.07564793921466,0.29471625829949927,47,29.78723404255319,9.3
1m,MA교차(2일/8일),-3.143163018097539,-0.8872643760234444,-59.6094294110624,0.21969704062330386,218,31.65137614678899,43.5
1m,돌파(9일/3일),-19.809001950700946,-5.974656880457918,-58.164985999066886,0.033324759137765655,150,32.0,29.9
1m,돌파(3일/1일),-59.305923447618646,-22.190204054010554,-73.91661673385047,-0.44818472091085,437,36.38443935926773,87.3
1m,RSI반전(1일),0.0,0.0,0.0,0.0,0,0.0,0.0
1m,볼린저회귀(3일),-89.36218754637375,-46.490650236759436,-90.9867488708337,-1.3692400564984717,562,67.61565836298932,112.3
