entry_time,direction,entry,exit,exit_type,pnl_pct,win,prob,fold
2022-04-01 08:25:00,SHORT,429.49,427.34,tp,0.004025,1,0.678,2
2022-04-01 15:20:00,SHORT,441.98,439.77,tp,0.004025,1,0.6608,2
2022-04-02 01:50:00,SHORT,452.57,450.31,tp,0.004025,1,0.6645,2
2022-04-06 16:35:00,LONG,420.81,422.91,tp,0.004,1,0.6943,2
2022-04-07 00:50:00,LONG,417.91,416.66,sl,-0.004,0,0.6602,2
2022-04-07 15:30:00,LONG,427.41,429.55,tp,0.004,1,0.6528,2
2022-04-12 14:25:00,LONG,408.9,410.95,tp,0.004,1,0.6661,2
2022-05-05 15:05:00,LONG,384.09,386.01,tp,0.004,1,0.7032,2
2022-05-05 15:30:00,LONG,382.79,381.64,sl,-0.004,0,0.7149,2
2022-05-05 16:10:00,LONG,380.59,382.49,tp,0.004,1,0.6895,2
2022-05-05 18:20:00,LONG,372.99,374.85,tp,0.004,1,0.6761,2
2022-05-06 13:35:00,LONG,371.89,373.75,tp,0.004,1,0.6745,2
2022-05-07 21:55:00,LONG,364.18,366.0,tp,0.004,1,0.656,2
2022-05-07 22:20:00,LONG,364.58,363.49,sl,-0.004,0,0.6646,2
2022-05-07 22:50:00,LONG,361.18,362.99,tp,0.004,1,0.6688,2
2022-05-07 23:30:00,SHORT,366.52,364.98,timeout,0.003204,1,0.6703,2
2022-05-09 03:20:00,SHORT,352.02,350.26,tp,0.004025,1,0.6607,2
2022-05-09 10:55:00,LONG,327.86,329.5,tp,0.004,1,0.7187,2
2022-05-09 11:55:00,SHORT,332.83,331.17,tp,0.004025,1,0.6549,2
2022-05-09 12:55:00,LONG,330.37,329.37,sl,-0.004,0,0.653,2
2022-05-09 13:45:00,LONG,332.47,334.13,tp,0.004,1,0.692,2
2022-05-09 15:30:00,LONG,322.76,324.38,tp,0.004,1,0.7006,2
2022-05-09 16:50:00,LONG,312.16,313.72,tp,0.004,1,0.7289,2
2022-05-09 17:15:00,SHORT,314.04,314.99,sl,-0.003991,0,0.6632,2
2022-05-09 18:40:00,LONG,302.85,304.37,tp,0.004,1,0.7427,2
2022-05-09 19:00:00,LONG,305.85,307.38,tp,0.004,1,0.6753,2
2022-05-09 20:10:00,SHORT,315.64,314.06,tp,0.004025,1,0.6611,2
2022-05-09 20:50:00,SHORT,311.84,310.28,tp,0.004025,1,0.6829,2
2022-05-09 21:00:00,LONG,309.55,311.1,tp,0.004,1,0.6814,2
2022-05-09 21:05:00,SHORT,312.04,312.98,sl,-0.003991,0,0.6591,2
2022-05-09 21:40:00,SHORT,312.74,311.18,tp,0.004025,1,0.6693,2
2022-05-09 23:05:00,SHORT,308.85,307.3,tp,0.004025,1,0.6584,2
2022-05-09 23:40:00,LONG,300.45,301.95,tp,0.004,1,0.7022,2
2022-05-10 00:30:00,LONG,291.35,292.8,tp,0.004,1,0.6653,2
2022-05-10 00:45:00,SHORT,300.45,301.35,sl,-0.003991,0,0.6574,2
2022-05-10 01:05:00,SHORT,310.14,308.59,tp,0.004025,1,0.6866,2
2022-05-10 01:25:00,SHORT,309.45,307.9,tp,0.004025,1,0.705,2
2022-05-10 02:40:00,SHORT,312.54,310.98,tp,0.004025,1,0.6823,2
2022-05-10 03:05:00,SHORT,310.54,308.99,tp,0.004025,1,0.6735,2
2022-05-10 05:20:00,LONG,317.26,318.84,tp,0.004,1,0.6502,2
2022-05-10 06:40:00,SHORT,332.43,330.77,tp,0.004025,1,0.6755,2
2022-05-10 07:15:00,LONG,322.96,324.58,tp,0.004,1,0.6546,2
2022-05-10 09:30:00,LONG,320.96,322.57,tp,0.004,1,0.6577,2
2022-05-10 10:00:00,LONG,320.26,321.86,tp,0.004,1,0.7323,2
2022-05-10 10:35:00,LONG,320.96,320.0,sl,-0.004,0,0.6912,2
2022-05-10 11:00:00,LONG,319.76,321.36,tp,0.004,1,0.696,2
2022-05-10 13:00:00,SHORT,330.83,329.18,tp,0.004025,1,0.6541,2
