entry_time,direction,entry,exit,exit_type,pnl_pct,win,prob,fold
2022-01-01 00:00:00,LONG,46836.61,47070.79,tp,0.004,1,0.7624,1
2022-01-01 04:00:00,SHORT,47171.13,46935.28,tp,0.004025,1,0.8474,1
2022-01-01 08:00:00,LONG,46782.25,47016.16,tp,0.004,1,0.867,1
2022-01-01 12:00:00,LONG,47242.65,47478.86,tp,0.004,1,0.8145,1
2022-01-01 16:00:00,SHORT,47306.12,47448.03,sl,-0.003991,0,0.7332,1
2022-01-02 04:00:00,LONG,47197.04,47433.02,tp,0.004,1,0.7701,1
2022-01-02 16:00:00,LONG,46931.13,47165.79,tp,0.004,1,0.8167,1
2022-01-03 00:00:00,SHORT,46769.86,46910.17,sl,-0.003991,0,0.7121,1
2022-01-03 12:00:00,SHORT,46670.1,46436.75,tp,0.004025,1,0.7776,1
2022-01-03 16:00:00,SHORT,46336.83,46105.15,tp,0.004025,1,0.7331,1
2022-01-03 20:00:00,LONG,46469.32,46329.92,sl,-0.004,0,0.785,1
2022-01-04 00:00:00,SHORT,46290.81,46059.36,tp,0.004025,1,0.6718,1
2022-01-04 08:00:00,SHORT,46710.4,46476.85,tp,0.004025,1,0.6636,1
2022-01-04 12:00:00,SHORT,46901.89,46667.38,tp,0.004025,1,0.8036,1
2022-01-04 16:00:00,LONG,46075.39,46305.76,tp,0.004,1,0.7222,1
2022-01-04 20:00:00,LONG,45854.93,46084.2,tp,0.004,1,0.795,1
2022-01-05 00:00:00,SHORT,46399.34,46167.34,tp,0.004025,1,0.7292,1
2022-01-05 08:00:00,SHORT,46247.85,46016.62,tp,0.004025,1,0.8014,1
2022-01-05 12:00:00,SHORT,46599.22,46366.22,tp,0.004025,1,0.6955,1
2022-01-05 16:00:00,LONG,44708.27,44574.15,sl,-0.004,0,0.9148,1
2022-01-05 20:00:00,LONG,43472.86,43690.22,tp,0.004,1,0.9637,1
2022-01-06 00:00:00,LONG,42856.42,43070.7,tp,0.004,1,0.9346,1
2022-01-06 04:00:00,SHORT,43223.63,43007.51,tp,0.004025,1,0.9169,1
2022-01-06 08:00:00,LONG,42899.78,43114.28,tp,0.004,1,0.8711,1
2022-01-06 12:00:00,LONG,42971.49,43186.34,tp,0.004,1,0.747,1
2022-01-06 16:00:00,LONG,43459.82,43329.44,sl,-0.004,0,0.8001,1
2022-01-06 20:00:00,SHORT,43060.77,42845.47,tp,0.004025,1,0.7336,1
2022-01-07 00:00:00,LONG,41824.01,41698.54,sl,-0.004,0,0.9302,1
2022-01-07 04:00:00,SHORT,41685.86,41810.91,sl,-0.003991,0,0.9117,1
2022-01-07 08:00:00,LONG,42279.75,42491.15,tp,0.004,1,0.8628,1
2022-01-07 12:00:00,LONG,41339.77,41546.47,tp,0.004,1,0.9664,1
2022-01-07 16:00:00,LONG,41796.27,42005.25,tp,0.004,1,0.8884,1
2022-01-07 20:00:00,LONG,41587.26,41795.2,tp,0.004,1,0.88,1
2022-01-08 00:00:00,LONG,41831.82,42040.97,tp,0.004,1,0.861,1
2022-01-08 04:00:00,LONG,41934.54,42144.21,tp,0.004,1,0.7585,1
2022-01-08 08:00:00,LONG,41961.19,41835.31,sl,-0.004,0,0.7676,1
2022-01-08 12:00:00,SHORT,41592.52,41384.56,tp,0.004025,1,0.7321,1
2022-01-08 16:00:00,LONG,40851.49,41055.74,tp,0.004,1,0.9591,1
2022-01-08 20:00:00,SHORT,41658.9,41450.61,tp,0.004025,1,0.7514,1
2022-01-09 04:00:00,LONG,41812.41,41686.97,sl,-0.004,0,0.7796,1
2022-01-09 12:00:00,LONG,41641.92,41850.13,tp,0.004,1,0.8322,1
2022-01-09 16:00:00,LONG,42716.61,42588.46,sl,-0.004,0,0.7174,1
2022-01-09 20:00:00,SHORT,41843.69,41634.47,tp,0.004025,1,0.6656,1
2022-01-10 00:00:00,SHORT,41946.61,42072.45,sl,-0.003991,0,0.6864,1
2022-01-10 04:00:00,SHORT,42021.36,41811.25,tp,0.004025,1,0.6711,1
2022-01-10 08:00:00,SHORT,41544.56,41336.83,tp,0.004025,1,0.6886,1
