entry_time,direction,entry,exit,exit_type,pnl_pct,win,prob,fold
2022-04-01 00:00:00,LONG,122.01,122.62,tp,0.004,1,0.9413,2
2022-04-01 04:00:00,SHORT,126.39,125.75,tp,0.004025,1,0.9329,2
2022-04-01 08:00:00,SHORT,124.31,123.69,tp,0.004025,1,0.9182,2
2022-04-01 12:00:00,LONG,132.82,133.48,tp,0.004,1,0.9637,2
2022-04-01 16:00:00,SHORT,137.37,136.68,tp,0.004025,1,0.9503,2
2022-04-01 20:00:00,SHORT,134.45,133.78,tp,0.004025,1,0.9573,2
2022-04-02 00:00:00,LONG,134.85,135.52,tp,0.004,1,0.851,2
2022-04-02 04:00:00,LONG,135.88,136.56,tp,0.004,1,0.8891,2
2022-04-02 08:00:00,SHORT,137.59,136.9,tp,0.004025,1,0.913,2
2022-04-02 12:00:00,SHORT,137.89,137.2,tp,0.004025,1,0.9078,2
2022-04-02 16:00:00,SHORT,135.8,135.12,tp,0.004025,1,0.9151,2
2022-04-02 20:00:00,SHORT,132.42,131.76,tp,0.004025,1,0.9389,2
2022-04-03 00:00:00,LONG,135.52,136.2,tp,0.004,1,0.9067,2
2022-04-03 04:00:00,LONG,137.63,138.32,tp,0.004,1,0.9317,2
2022-04-03 08:00:00,SHORT,139.03,138.34,tp,0.004025,1,0.9472,2
2022-04-03 12:00:00,SHORT,135.98,135.3,tp,0.004025,1,0.8985,2
2022-04-03 16:00:00,SHORT,135.22,135.63,sl,-0.003991,0,0.9477,2
2022-04-03 20:00:00,SHORT,136.83,136.15,tp,0.004025,1,0.8817,2
2022-04-04 00:00:00,SHORT,135.24,135.65,sl,-0.003991,0,0.8807,2
2022-04-04 04:00:00,LONG,137.0,137.68,tp,0.004,1,0.8791,2
2022-04-04 08:00:00,SHORT,134.69,134.02,tp,0.004025,1,0.9165,2
2022-04-04 12:00:00,SHORT,129.26,128.61,tp,0.004025,1,0.9665,2
2022-04-04 16:00:00,LONG,130.18,130.83,tp,0.004,1,0.9329,2
2022-04-04 20:00:00,SHORT,132.07,131.41,tp,0.004025,1,0.9334,2
2022-04-05 00:00:00,SHORT,133.29,132.63,tp,0.004025,1,0.8881,2
2022-04-05 04:00:00,LONG,133.41,134.07,tp,0.004,1,0.8988,2
2022-04-05 08:00:00,LONG,134.58,135.25,tp,0.004,1,0.8771,2
2022-04-05 12:00:00,SHORT,131.44,130.79,tp,0.004025,1,0.9629,2
2022-04-05 16:00:00,SHORT,131.12,130.47,tp,0.004025,1,0.9326,2
2022-04-05 20:00:00,SHORT,126.81,126.17,tp,0.004025,1,0.9652,2
