entry_time,direction,entry,exit,exit_type,pnl_pct,win,prob,fold
2022-01-04 23:00:00,LONG,0.82,0.83,tp,0.004,1,0.6783,1
2022-01-05 20:00:00,LONG,0.79,0.79,tp,0.004,1,0.6548,1
2022-01-05 22:00:00,SHORT,0.76,0.76,tp,0.004025,1,0.8237,1
2022-01-05 23:00:00,SHORT,0.77,0.77,tp,0.004025,1,0.8472,1
2022-01-06 00:00:00,SHORT,0.77,0.77,tp,0.004025,1,0.7144,1
2022-01-06 03:00:00,LONG,0.75,0.75,tp,0.004,1,0.8082,1
2022-01-06 04:00:00,SHORT,0.76,0.76,tp,0.004025,1,0.7001,1
2022-01-06 09:00:00,LONG,0.74,0.75,tp,0.004,1,0.7709,1
2022-01-06 23:00:00,LONG,0.78,0.78,sl,-0.004,0,0.6586,1
2022-01-07 02:00:00,LONG,0.76,0.76,sl,-0.004,0,0.7116,1
2022-01-07 03:00:00,LONG,0.75,0.75,tp,0.004,1,0.6684,1
2022-01-07 08:00:00,SHORT,0.77,0.77,sl,-0.003991,0,0.6773,1
2022-01-07 09:00:00,SHORT,0.77,0.77,tp,0.004025,1,0.6533,1
2022-01-07 13:00:00,SHORT,0.75,0.75,sl,-0.003991,0,0.674,1
2022-01-07 15:00:00,SHORT,0.75,0.74,tp,0.004025,1,0.7227,1
2022-01-07 16:00:00,SHORT,0.77,0.76,tp,0.004025,1,0.7791,1
2022-01-07 23:00:00,SHORT,0.76,0.77,sl,-0.003991,0,0.6819,1
2022-01-08 17:00:00,LONG,0.74,0.74,tp,0.004,1,0.8112,1
2022-01-08 18:00:00,LONG,0.73,0.73,tp,0.004,1,0.8285,1
2022-01-08 20:00:00,LONG,0.73,0.74,tp,0.004,1,0.7285,1
2022-01-08 23:00:00,SHORT,0.74,0.74,tp,0.004025,1,0.724,1
2022-01-10 13:00:00,LONG,0.73,0.73,sl,-0.004,0,0.7609,1
2022-01-10 14:00:00,SHORT,0.73,0.72,tp,0.004025,1,0.6696,1
2022-01-10 15:00:00,SHORT,0.72,0.73,sl,-0.003991,0,0.6701,1
2022-01-10 17:00:00,LONG,0.72,0.73,tp,0.004,1,0.6644,1
2022-01-10 23:00:00,SHORT,0.74,0.74,tp,0.004025,1,0.6751,1
2022-01-11 20:00:00,SHORT,0.77,0.77,sl,-0.003991,0,0.6508,1
2022-01-12 13:00:00,SHORT,0.79,0.79,sl,-0.003991,0,0.6841,1
2022-01-12 14:00:00,SHORT,0.8,0.79,tp,0.004025,1,0.7512,1
2022-01-12 23:00:00,LONG,0.8,0.8,sl,-0.004,0,0.6679,1
2022-01-20 21:00:00,LONG,0.73,0.74,tp,0.004,1,0.6578,1
2022-01-20 23:00:00,SHORT,0.72,0.72,tp,0.004025,1,0.7334,1
2022-01-21 01:00:00,LONG,0.7,0.7,tp,0.004,1,0.8148,1
2022-01-21 03:00:00,LONG,0.69,0.69,tp,0.004,1,0.8003,1
2022-01-21 06:00:00,SHORT,0.69,0.69,sl,-0.003991,0,0.6862,1
2022-01-21 12:00:00,LONG,0.68,0.68,tp,0.004,1,0.7694,1
2022-01-21 13:00:00,SHORT,0.68,0.67,tp,0.004025,1,0.675,1
2022-01-21 14:00:00,SHORT,0.68,0.67,tp,0.004025,1,0.6618,1
2022-01-21 19:00:00,LONG,0.67,0.67,tp,0.004,1,0.7476,1
2022-01-21 21:00:00,LONG,0.63,0.64,tp,0.004,1,0.8821,1
2022-01-21 22:00:00,SHORT,0.63,0.63,tp,0.004025,1,0.8109,1
2022-01-21 23:00:00,SHORT,0.64,0.63,tp,0.004025,1,0.863,1
2022-01-22 00:00:00,SHORT,0.64,0.64,sl,-0.003991,0,0.6964,1
2022-01-22 01:00:00,SHORT,0.65,0.64,tp,0.004025,1,0.6758,1
2022-01-22 02:00:00,SHORT,0.64,0.64,tp,0.004025,1,0.6753,1
2022-01-22 03:00:00,SHORT,0.64,0.64,tp,0.004025,1,0.7325,1
2022-01-22 04:00:00,SHORT,0.64,0.64,tp,0.004025,1,0.6941,1
2022-01-22 05:00:00,LONG,0.62,0.63,tp,0.004,1,0.8647,1
2022-01-22 06:00:00,LONG,0.62,0.62,tp,0.004,1,0.8632,1
2022-01-22 07:00:00,LONG,0.6,0.6,tp,0.004,1,0.8904,1
2022-01-22 08:00:00,LONG,0.6,0.61,tp,0.004,1,0.7711,1
2022-01-22 09:00:00,LONG,0.57,0.58,tp,0.004,1,0.9159,1
2022-01-22 10:00:00,SHORT,0.59,0.59,tp,0.004025,1,0.8746,1
2022-01-22 11:00:00,SHORT,0.59,0.59,sl,-0.003991,0,0.8289,1
2022-01-22 12:00:00,SHORT,0.6,0.6,tp,0.004025,1,0.8229,1
2022-01-22 13:00:00,SHORT,0.6,0.6,tp,0.004025,1,0.7561,1
2022-01-22 14:00:00,LONG,0.59,0.59,tp,0.004,1,0.8434,1
2022-01-22 15:00:00,LONG,0.57,0.58,tp,0.004,1,0.9008,1
2022-01-22 16:00:00,SHORT,0.58,0.58,tp,0.004025,1,0.7991,1
2022-01-22 17:00:00,LONG,0.57,0.57,tp,0.004,1,0.8721,1
2022-01-22 18:00:00,SHORT,0.57,0.57,sl,-0.003991,0,0.8122,1
2022-01-22 19:00:00,SHORT,0.58,0.58,tp,0.004025,1,0.8001,1
2022-01-22 20:00:00,SHORT,0.6,0.6,tp,0.004025,1,0.8124,1
2022-01-22 21:00:00,SHORT,0.6,0.6,tp,0.004025,1,0.7174,1
2022-01-22 22:00:00,LONG,0.59,0.59,tp,0.004,1,0.8604,1
2022-01-22 23:00:00,SHORT,0.6,0.59,tp,0.004025,1,0.7662,1
2022-01-23 00:00:00,SHORT,0.61,0.61,sl,-0.003991,0,0.7731,1
2022-01-23 01:00:00,LONG,0.6,0.6,sl,-0.004,0,0.7245,1
2022-01-23 02:00:00,LONG,0.59,0.59,tp,0.004,1,0.8615,1
2022-01-23 03:00:00,LONG,0.6,0.6,tp,0.004,1,0.7214,1
2022-01-23 04:00:00,SHORT,0.61,0.6,tp,0.004025,1,0.6879,1
2022-01-23 05:00:00,SHORT,0.61,0.61,tp,0.004025,1,0.7599,1
2022-01-23 06:00:00,LONG,0.61,0.61,tp,0.004,1,0.7045,1
2022-01-23 07:00:00,SHORT,0.61,0.62,sl,-0.003991,0,0.6951,1
2022-01-23 08:00:00,SHORT,0.62,0.61,tp,0.004025,1,0.7538,1
2022-01-23 09:00:00,SHORT,0.62,0.62,tp,0.004025,1,0.7545,1
2022-01-23 10:00:00,SHORT,0.62,0.62,tp,0.004025,1,0.6939,1
2022-01-23 11:00:00,LONG,0.62,0.61,sl,-0.004,0,0.7072,1
2022-01-23 14:00:00,LONG,0.61,0.61,sl,-0.004,0,0.8071,1
2022-01-23 15:00:00,LONG,0.6,0.61,tp,0.004,1,0.6745,1
2022-01-23 16:00:00,LONG,0.6,0.61,tp,0.004,1,0.6832,1
2022-01-23 18:00:00,LONG,0.6,0.6,tp,0.004,1,0.7363,1
2022-01-23 19:00:00,SHORT,0.59,0.6,sl,-0.003991,0,0.692,1
2022-01-23 20:00:00,SHORT,0.61,0.6,tp,0.004025,1,0.671,1
2022-01-23 23:00:00,SHORT,0.63,0.62,tp,0.004025,1,0.8066,1
2022-01-24 00:00:00,LONG,0.62,0.62,tp,0.004,1,0.68,1
2022-01-24 04:00:00,LONG,0.61,0.6,sl,-0.004,0,0.6702,1
2022-01-24 07:00:00,LONG,0.6,0.6,tp,0.004,1,0.7032,1
2022-01-24 08:00:00,SHORT,0.59,0.59,tp,0.004025,1,0.6946,1
2022-01-24 09:00:00,LONG,0.58,0.58,sl,-0.004,0,0.7984,1
2022-01-24 10:00:00,LONG,0.56,0.56,tp,0.004,1,0.9042,1
2022-01-24 11:00:00,SHORT,0.57,0.56,tp,0.004025,1,0.8519,1
2022-01-24 12:00:00,SHORT,0.56,0.56,tp,0.004025,1,0.8435,1
2022-01-24 13:00:00,SHORT,0.56,0.56,tp,0.004025,1,0.8293,1
2022-01-24 14:00:00,SHORT,0.57,0.57,tp,0.004025,1,0.8218,1
2022-01-24 15:00:00,SHORT,0.58,0.58,tp,0.004025,1,0.8609,1
2022-01-24 16:00:00,SHORT,0.58,0.57,tp,0.004025,1,0.8275,1
2022-01-24 17:00:00,SHORT,0.59,0.59,sl,-0.003991,0,0.8305,1
2022-01-24 18:00:00,SHORT,0.6,0.59,tp,0.004025,1,0.798,1
2022-01-24 19:00:00,SHORT,0.6,0.6,sl,-0.003991,0,0.6677,1
2022-01-24 20:00:00,SHORT,0.62,0.62,tp,0.004025,1,0.8812,1
2022-01-24 21:00:00,SHORT,0.61,0.61,tp,0.004025,1,0.7547,1
2022-01-24 22:00:00,LONG,0.61,0.61,tp,0.004,1,0.6631,1
2022-01-24 23:00:00,LONG,0.61,0.61,sl,-0.004,0,0.7144,1
2022-01-25 00:00:00,LONG,0.6,0.6,tp,0.004,1,0.806,1
2022-01-25 04:00:00,LONG,0.59,0.6,tp,0.004,1,0.743,1
2022-01-25 06:00:00,LONG,0.59,0.59,tp,0.004,1,0.6682,1
2022-01-25 09:00:00,SHORT,0.6,0.6,sl,-0.003991,0,0.6512,1
2022-01-25 10:00:00,SHORT,0.6,0.6,tp,0.004025,1,0.6582,1
2022-01-25 11:00:00,SHORT,0.6,0.6,sl,-0.003991,0,0.6788,1
2022-01-25 13:00:00,SHORT,0.6,0.6,tp,0.004025,1,0.6646,1
2022-01-25 14:00:00,SHORT,0.6,0.59,tp,0.004025,1,0.6558,1
2022-01-25 15:00:00,SHORT,0.6,0.6,sl,-0.003991,0,0.6608,1
2022-01-25 18:00:00,SHORT,0.62,0.61,tp,0.004025,1,0.6755,1
2022-01-25 22:00:00,SHORT,0.62,0.62,tp,0.004025,1,0.7579,1
2022-01-25 23:00:00,SHORT,0.62,0.61,tp,0.004025,1,0.6878,1
2022-01-26 04:00:00,SHORT,0.63,0.63,tp,0.004025,1,0.7434,1
2022-01-26 11:00:00,SHORT,0.63,0.63,tp,0.004025,1,0.6982,1
2022-01-26 13:00:00,SHORT,0.63,0.63,sl,-0.003991,0,0.6511,1
2022-01-26 14:00:00,SHORT,0.64,0.63,tp,0.004025,1,0.6597,1
2022-01-26 20:00:00,LONG,0.63,0.63,sl,-0.004,0,0.7138,1
2022-01-26 21:00:00,LONG,0.61,0.61,tp,0.004,1,0.8734,1
2022-01-26 22:00:00,SHORT,0.62,0.62,sl,-0.003991,0,0.6596,1
2022-01-26 23:00:00,SHORT,0.62,0.62,tp,0.004025,1,0.7341,1
2022-01-27 01:00:00,LONG,0.6,0.6,sl,-0.004,0,0.8567,1
2022-01-27 02:00:00,SHORT,0.6,0.6,tp,0.004025,1,0.704,1
2022-01-27 03:00:00,LONG,0.59,0.6,tp,0.004,1,0.7383,1
2022-01-27 04:00:00,LONG,0.6,0.6,tp,0.004,1,0.7024,1
2022-01-27 05:00:00,LONG,0.6,0.6,tp,0.004,1,0.6904,1
2022-01-27 20:00:00,LONG,0.59,0.59,tp,0.004,1,0.7977,1
2022-01-27 23:00:00,SHORT,0.61,0.61,sl,-0.003991,0,0.7008,1
2022-01-28 11:00:00,SHORT,0.6,0.59,tp,0.004025,1,0.6603,1
2022-01-30 23:00:00,SHORT,0.6,0.6,tp,0.004025,1,0.6618,1
2022-01-31 00:00:00,LONG,0.59,0.59,tp,0.004,1,0.8084,1
2022-01-31 01:00:00,LONG,0.59,0.59,sl,-0.004,0,0.6509,1
2022-02-02 15:00:00,SHORT,0.61,0.61,tp,0.004025,1,0.6733,1
2022-02-02 23:00:00,SHORT,0.6,0.6,tp,0.004025,1,0.6956,1
2022-02-03 09:00:00,LONG,0.59,0.59,sl,-0.004,0,0.6524,1
2022-02-04 16:00:00,SHORT,0.63,0.64,sl,-0.003991,0,0.6813,1
2022-02-04 17:00:00,SHORT,0.64,0.64,tp,0.004025,1,0.7072,1
2022-02-04 23:00:00,LONG,0.66,0.66,tp,0.004,1,0.6678,1
2022-02-05 00:00:00,SHORT,0.67,0.67,tp,0.004025,1,0.724,1
2022-02-07 02:00:00,SHORT,0.71,0.71,sl,-0.003991,0,0.7671,1
2022-02-07 03:00:00,SHORT,0.72,0.72,tp,0.004025,1,0.7883,1
2022-02-07 04:00:00,SHORT,0.72,0.73,sl,-0.003991,0,0.6682,1
2022-02-07 05:00:00,SHORT,0.74,0.74,tp,0.004025,1,0.8172,1
2022-02-07 06:00:00,SHORT,0.75,0.75,sl,-0.003991,0,0.7502,1
2022-02-07 07:00:00,SHORT,0.75,0.75,tp,0.004025,1,0.7782,1
2022-02-07 08:00:00,SHORT,0.77,0.76,tp,0.004025,1,0.78,1
2022-02-07 09:00:00,LONG,0.75,0.76,tp,0.004,1,0.81,1
2022-02-07 10:00:00,SHORT,0.76,0.77,sl,-0.003991,0,0.7545,1
2022-02-07 11:00:00,SHORT,0.77,0.77,tp,0.004025,1,0.8006,1
2022-02-07 12:00:00,SHORT,0.77,0.77,sl,-0.003991,0,0.686,1
2022-02-07 13:00:00,SHORT,0.77,0.77,tp,0.004025,1,0.6815,1
2022-02-07 17:00:00,SHORT,0.79,0.78,tp,0.004025,1,0.7151,1
2022-02-07 19:00:00,SHORT,0.79,0.78,tp,0.004025,1,0.6721,1
2022-02-07 20:00:00,SHORT,0.79,0.79,sl,-0.003991,0,0.6551,1
2022-02-07 21:00:00,SHORT,0.8,0.8,sl,-0.003991,0,0.7907,1
2022-02-07 22:00:00,SHORT,0.82,0.82,tp,0.004025,1,0.8556,1
2022-02-07 23:00:00,SHORT,0.83,0.83,tp,0.004025,1,0.7704,1
2022-02-08 00:00:00,SHORT,0.82,0.83,sl,-0.003991,0,0.766,1
2022-02-08 01:00:00,SHORT,0.87,0.86,tp,0.004025,1,0.8106,1
2022-02-08 02:00:00,SHORT,0.86,0.86,sl,-0.003991,0,0.7766,1
2022-02-08 03:00:00,SHORT,0.87,0.88,sl,-0.003991,0,0.8355,1
2022-02-08 04:00:00,SHORT,0.87,0.88,sl,-0.003991,0,0.7808,1
2022-02-08 05:00:00,SHORT,0.9,0.89,tp,0.004025,1,0.8142,1
2022-02-08 06:00:00,SHORT,0.89,0.89,tp,0.004025,1,0.764,1
2022-02-08 07:00:00,SHORT,0.9,0.89,tp,0.004025,1,0.7903,1
2022-02-08 08:00:00,LONG,0.85,0.86,tp,0.004,1,0.8777,1
2022-02-08 09:00:00,SHORT,0.86,0.86,tp,0.004025,1,0.8176,1
2022-02-08 10:00:00,SHORT,0.86,0.86,tp,0.004025,1,0.7792,1
2022-02-08 11:00:00,SHORT,0.86,0.85,tp,0.004025,1,0.8487,1
2022-02-08 12:00:00,SHORT,0.85,0.84,tp,0.004025,1,0.8274,1
2022-02-08 13:00:00,SHORT,0.85,0.84,tp,0.004025,1,0.7927,1
2022-02-08 14:00:00,LONG,0.84,0.84,sl,-0.004,0,0.8535,1
2022-02-08 15:00:00,SHORT,0.83,0.83,tp,0.004025,1,0.8213,1
2022-02-08 16:00:00,LONG,0.81,0.82,tp,0.004,1,0.8889,1
2022-02-08 17:00:00,SHORT,0.82,0.81,tp,0.004025,1,0.7224,1
2022-02-08 18:00:00,LONG,0.82,0.81,sl,-0.004,0,0.7115,1
2022-02-08 19:00:00,LONG,0.82,0.82,tp,0.004,1,0.6906,1
2022-02-08 20:00:00,SHORT,0.85,0.85,tp,0.004025,1,0.8722,1
2022-02-08 21:00:00,SHORT,0.84,0.84,tp,0.004025,1,0.7952,1
2022-02-08 22:00:00,SHORT,0.86,0.86,sl,-0.003991,0,0.872,1
2022-02-08 23:00:00,SHORT,0.88,0.87,tp,0.004025,1,0.8892,1
2022-02-09 00:00:00,SHORT,0.88,0.87,tp,0.004025,1,0.818,1
2022-02-09 01:00:00,SHORT,0.89,0.88,tp,0.004025,1,0.8313,1
2022-02-09 02:00:00,LONG,0.85,0.86,tp,0.004,1,0.8523,1
2022-02-09 03:00:00,LONG,0.85,0.85,tp,0.004,1,0.7265,1
2022-02-09 04:00:00,SHORT,0.86,0.85,tp,0.004025,1,0.7011,1
2022-02-09 05:00:00,SHORT,0.85,0.86,sl,-0.003991,0,0.72,1
2022-02-09 06:00:00,SHORT,0.86,0.86,tp,0.004025,1,0.7461,1
2022-02-09 07:00:00,SHORT,0.86,0.86,tp,0.004025,1,0.7315,1
2022-02-09 08:00:00,LONG,0.85,0.85,tp,0.004,1,0.7925,1
2022-02-09 09:00:00,LONG,0.85,0.86,tp,0.004,1,0.7035,1
2022-02-09 10:00:00,SHORT,0.86,0.85,tp,0.004025,1,0.7347,1
2022-02-09 11:00:00,SHORT,0.86,0.86,sl,-0.003991,0,0.7663,1
2022-02-09 12:00:00,SHORT,0.89,0.88,tp,0.004025,1,0.8704,1
2022-02-09 13:00:00,SHORT,0.88,0.88,tp,0.004025,1,0.8187,1
2022-02-09 14:00:00,SHORT,0.89,0.88,tp,0.004025,1,0.8247,1
2022-02-09 15:00:00,SHORT,0.88,0.88,tp,0.004025,1,0.7764,1
2022-02-09 16:00:00,SHORT,0.89,0.89,sl,-0.003991,0,0.802,1
2022-02-09 17:00:00,SHORT,0.89,0.89,tp,0.004025,1,0.8188,1
2022-02-09 18:00:00,SHORT,0.9,0.89,tp,0.004025,1,0.7654,1
2022-02-09 19:00:00,LONG,0.89,0.9,tp,0.004,1,0.7234,1
2022-02-09 20:00:00,SHORT,0.9,0.89,tp,0.004025,1,0.711,1
2022-02-09 21:00:00,SHORT,0.89,0.89,sl,-0.003991,0,0.6889,1
2022-02-09 22:00:00,SHORT,0.9,0.89,tp,0.004025,1,0.6905,1
2022-02-09 23:00:00,LONG,0.87,0.87,tp,0.004,1,0.8484,1
2022-02-10 02:00:00,LONG,0.86,0.86,tp,0.004,1,0.8402,1
2022-02-10 03:00:00,SHORT,0.86,0.86,sl,-0.003991,0,0.6723,1
2022-02-10 04:00:00,SHORT,0.87,0.87,sl,-0.003991,0,0.702,1
2022-02-10 09:00:00,SHORT,0.88,0.88,sl,-0.003991,0,0.7151,1
2022-02-10 10:00:00,SHORT,0.89,0.88,tp,0.004025,1,0.7542,1
2022-02-10 11:00:00,SHORT,0.89,0.88,tp,0.004025,1,0.6847,1
2022-02-10 13:00:00,SHORT,0.85,0.85,tp,0.004025,1,0.7978,1
2022-02-10 14:00:00,SHORT,0.86,0.86,tp,0.004025,1,0.7557,1
2022-02-10 15:00:00,SHORT,0.86,0.87,sl,-0.003991,0,0.7296,1
2022-02-10 16:00:00,SHORT,0.87,0.87,sl,-0.003991,0,0.6536,1
2022-02-10 19:00:00,LONG,0.85,0.85,tp,0.004,1,0.7726,1
2022-02-10 20:00:00,LONG,0.84,0.84,sl,-0.004,0,0.7454,1
2022-02-10 21:00:00,LONG,0.84,0.85,tp,0.004,1,0.737,1
2022-02-10 23:00:00,LONG,0.83,0.82,sl,-0.004,0,0.8508,1
2022-02-11 00:00:00,SHORT,0.82,0.82,sl,-0.003991,0,0.7586,1
2022-02-11 01:00:00,LONG,0.82,0.82,sl,-0.004,0,0.6939,1
2022-02-11 02:00:00,LONG,0.82,0.82,sl,-0.004,0,0.6705,1
2022-02-11 05:00:00,LONG,0.8,0.8,tp,0.004,1,0.8311,1
2022-02-11 08:00:00,LONG,0.8,0.81,tp,0.004,1,0.8251,1
2022-02-11 09:00:00,SHORT,0.82,0.81,tp,0.004025,1,0.6762,1
2022-02-11 10:00:00,SHORT,0.82,0.81,tp,0.004025,1,0.6723,1
2022-02-11 13:00:00,SHORT,0.82,0.82,tp,0.004025,1,0.6944,1
2022-02-11 14:00:00,SHORT,0.82,0.82,sl,-0.003991,0,0.706,1
2022-02-11 16:00:00,LONG,0.81,0.81,sl,-0.004,0,0.6782,1
2022-02-11 18:00:00,LONG,0.79,0.8,tp,0.004,1,0.8038,1
2022-02-11 19:00:00,LONG,0.79,0.79,sl,-0.004,0,0.7842,1
2022-02-11 20:00:00,LONG,0.77,0.78,tp,0.004,1,0.864,1
2022-02-11 21:00:00,LONG,0.77,0.77,sl,-0.004,0,0.8175,1
2022-02-11 22:00:00,LONG,0.75,0.76,tp,0.004,1,0.9072,1
2022-02-11 23:00:00,SHORT,0.76,0.75,tp,0.004025,1,0.7977,1
2022-02-12 00:00:00,SHORT,0.77,0.77,tp,0.004025,1,0.6708,1
2022-02-12 01:00:00,SHORT,0.78,0.78,sl,-0.003991,0,0.6768,1
2022-02-12 06:00:00,LONG,0.76,0.76,tp,0.004,1,0.7673,1
2022-02-12 15:00:00,SHORT,0.8,0.8,sl,-0.003991,0,0.8135,1
2022-02-12 16:00:00,SHORT,0.83,0.83,sl,-0.003991,0,0.8928,1
2022-02-12 17:00:00,SHORT,0.84,0.84,sl,-0.003991,0,0.8802,1
2022-02-12 18:00:00,SHORT,0.84,0.84,tp,0.004025,1,0.8268,1
2022-02-12 19:00:00,LONG,0.83,0.84,tp,0.004,1,0.7854,1
2022-02-12 20:00:00,SHORT,0.84,0.83,tp,0.004025,1,0.7257,1
2022-02-12 21:00:00,LONG,0.81,0.82,tp,0.004,1,0.8406,1
2022-02-12 22:00:00,SHORT,0.83,0.82,tp,0.004025,1,0.7023,1
2022-02-12 23:00:00,LONG,0.82,0.83,tp,0.004,1,0.6996,1
2022-02-13 00:00:00,SHORT,0.83,0.82,tp,0.004025,1,0.7546,1
2022-02-13 01:00:00,LONG,0.82,0.82,tp,0.004,1,0.671,1
2022-02-13 06:00:00,SHORT,0.83,0.83,tp,0.004025,1,0.6566,1
2022-02-13 08:00:00,SHORT,0.83,0.83,tp,0.004025,1,0.6539,1
2022-02-13 09:00:00,SHORT,0.83,0.82,tp,0.004025,1,0.6528,1
2022-02-13 10:00:00,SHORT,0.83,0.84,sl,-0.003991,0,0.7039,1
2022-02-13 11:00:00,SHORT,0.84,0.84,sl,-0.003991,0,0.6705,1
2022-02-13 12:00:00,SHORT,0.84,0.83,tp,0.004025,1,0.6621,1
2022-02-13 15:00:00,LONG,0.82,0.82,sl,-0.004,0,0.6885,1
2022-02-13 16:00:00,LONG,0.81,0.81,sl,-0.004,0,0.7313,1
2022-02-13 18:00:00,LONG,0.8,0.8,tp,0.004,1,0.7909,1
2022-02-13 19:00:00,LONG,0.8,0.8,tp,0.004,1,0.7304,1
2022-02-13 21:00:00,LONG,0.81,0.81,tp,0.004,1,0.7152,1
2022-02-13 23:00:00,SHORT,0.81,0.8,tp,0.004025,1,0.7507,1
2022-02-14 01:00:00,LONG,0.79,0.79,tp,0.004,1,0.82,1
2022-02-14 02:00:00,LONG,0.79,0.79,tp,0.004,1,0.6759,1
2022-02-14 08:00:00,SHORT,0.79,0.78,tp,0.004025,1,0.7121,1
2022-02-14 09:00:00,SHORT,0.78,0.79,sl,-0.003991,0,0.6712,1
2022-02-14 11:00:00,SHORT,0.79,0.78,tp,0.004025,1,0.6883,1
2022-02-14 12:00:00,SHORT,0.8,0.8,tp,0.004025,1,0.7293,1
2022-02-14 13:00:00,SHORT,0.8,0.8,sl,-0.003991,0,0.6663,1
2022-02-14 14:00:00,SHORT,0.8,0.8,tp,0.004025,1,0.7011,1
2022-02-15 01:00:00,SHORT,0.83,0.82,tp,0.004025,1,0.8249,1
2022-02-15 02:00:00,SHORT,0.82,0.83,sl,-0.003991,0,0.7653,1
2022-02-15 08:00:00,SHORT,0.83,0.82,tp,0.004025,1,0.6639,1
2022-02-15 10:00:00,SHORT,0.83,0.83,tp,0.004025,1,0.6847,1
2022-02-15 23:00:00,SHORT,0.85,0.85,tp,0.004025,1,0.7635,1
