조합,조건수,발생횟수,승리횟수,승률(%),평균수익률(%),구성지표
MACD>Signal + VolSpike>1.5 + ThreeGreenDays,3,26,24,92.31,3.83,MACD>Signal + VolSpike>1.5 + ThreeGreenDays
MACD_Hist>0 + VolSpike>1.5 + ThreeGreenDays,3,26,24,92.31,3.83,MACD_Hist>0 + VolSpike>1.5 + ThreeGreenDays
ADX>25 + VolSpike>1.5 + ThreeGreenDays,3,22,20,90.91,3.98,ADX>25 + VolSpike>1.5 + ThreeGreenDays
SMA5>SMA20 + VolSpike>1.5 + ThreeGreenDays,3,32,29,90.62,3.41,SMA5>SMA20 + VolSpike>1.5 + ThreeGreenDays
MACD_Hist>0 + ADX>20_PlusDI>MinusDI + ThreeGreenDays,3,139,122,87.77,4.18,MACD_Hist>0 + ADX>20_PlusDI>MinusDI + ThreeGreenDays
MACD>Signal + ADX>20_PlusDI>MinusDI + ThreeGreenDays,3,139,122,87.77,4.18,MACD>Signal + ADX>20_PlusDI>MinusDI + ThreeGreenDays
SMA20>SMA100 + MACD>Signal + ThreeGreenDays,3,128,112,87.5,4.35,SMA20>SMA100 + MACD>Signal + ThreeGreenDays
Price>SMA20 + VolSpike>1.5 + ThreeGreenDays,3,32,28,87.5,3.35,Price>SMA20 + VolSpike>1.5 + ThreeGreenDays
EMA5>EMA20 + VolSpike>1.5 + ThreeGreenDays,3,32,28,87.5,3.25,EMA5>EMA20 + VolSpike>1.5 + ThreeGreenDays
SMA20>SMA100 + MACD_Hist>0 + ThreeGreenDays,3,128,112,87.5,4.35,SMA20>SMA100 + MACD_Hist>0 + ThreeGreenDays
ADX>20_PlusDI>MinusDI + VolSpike>1.5 + ThreeGreenDays,3,24,21,87.5,3.61,ADX>20_PlusDI>MinusDI + VolSpike>1.5 + ThreeGreenDays
SMA10>SMA50 + MACD>Signal + ADX>25,3,760,664,87.37,4.06,SMA10>SMA50 + MACD>Signal + ADX>25
SMA10>SMA50 + MACD_Hist>0 + ADX>25,3,760,664,87.37,4.06,SMA10>SMA50 + MACD_Hist>0 + ADX>25
EMA10>EMA50 + VolSpike>1.5 + ThreeGreenDays,3,31,27,87.1,3.25,EMA10>EMA50 + VolSpike>1.5 + ThreeGreenDays
SMA10>SMA50 + VolSpike>1.5 + ThreeGreenDays,3,31,27,87.1,3.25,SMA10>SMA50 + VolSpike>1.5 + ThreeGreenDays
Price>SMA50 + VolSpike>1.5 + ThreeGreenDays,3,31,27,87.1,3.25,Price>SMA50 + VolSpike>1.5 + ThreeGreenDays
SMA10>SMA50 + MACD>Signal + ADX>20_PlusDI>MinusDI,3,805,700,86.96,4.03,SMA10>SMA50 + MACD>Signal + ADX>20_PlusDI>MinusDI
SMA10>SMA50 + MACD_Hist>0 + ADX>20_PlusDI>MinusDI,3,805,700,86.96,4.03,SMA10>SMA50 + MACD_Hist>0 + ADX>20_PlusDI>MinusDI
SMA20>SMA100 + MACD>Signal + ADX>25,3,639,555,86.85,4.47,SMA20>SMA100 + MACD>Signal + ADX>25
SMA20>SMA100 + MACD_Hist>0 + ADX>25,3,639,555,86.85,4.47,SMA20>SMA100 + MACD_Hist>0 + ADX>25
SMA20>SMA100 + VolSpike>1.5 + ThreeGreenDays,3,30,26,86.67,3.3,SMA20>SMA100 + VolSpike>1.5 + ThreeGreenDays
