검증일자,전략명,발생횟수,승리횟수,승률(%),평균수익률(%),데이터기간,BTC현재가
2026-04-10,MACD>Signal + VolSpike>1.5 + ThreeGreenDays,26,24,92.31,3.83,2017-01-01~2025-04-10,79555.37
2026-04-10,MACD_Hist>0 + VolSpike>1.5 + ThreeGreenDays,26,24,92.31,3.83,2017-01-01~2025-04-10,79555.37
2026-04-10,ADX>25 + VolSpike>1.5 + ThreeGreenDays,22,20,90.91,3.98,2017-01-01~2025-04-10,79555.37
2026-04-10,SMA5>SMA20 + VolSpike>1.5 + ThreeGreenDays,32,29,90.62,3.41,2017-01-01~2025-04-10,79555.37
2026-04-10,MACD_Hist>0 + ADX>20_PlusDI>MinusDI + ThreeGreenDays,139,122,87.77,4.18,2017-01-01~2025-04-10,79555.37
2026-04-10,MACD>Signal + ADX>20_PlusDI>MinusDI + ThreeGreenDays,139,122,87.77,4.18,2017-01-01~2025-04-10,79555.37
2026-04-10,SMA20>SMA100 + MACD>Signal + ThreeGreenDays,128,112,87.5,4.35,2017-01-01~2025-04-10,79555.37
2026-04-10,SMA10>SMA50 + MACD>Signal + ADX>25,760,664,87.37,4.06,2017-01-01~2025-04-10,79555.37
2026-04-10,SMA10>SMA50 + MACD_Hist>0 + ADX>25,760,664,87.37,4.06,2017-01-01~2025-04-10,79555.37
2026-04-10,SMA20>SMA100 + MACD>Signal + ADX>25,639,555,86.85,4.47,2017-01-01~2025-04-10,79555.37
